Journal Title,e-ISSN ,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Groundwater for Sustainable Development,2352-801X,Hybrid,Y,,,Elsevier,2023-2025
Growth Hormone & IGF Research,1096-6374,Hybrid,Y,,,Elsevier,2023-2025
Gynecologic Oncology,0090-8258,Hybrid,Y,,,Elsevier,2023-2025
Gynécologie Obstétrique Fertilité & Sénologie,2468-7189,Hybrid,Y,,,Elsevier,2023-2025
Habitat International,0197-3975,Hybrid,Y,,,Elsevier,2023-2025
Hand Surgery & Rehabilitation,2468-1229,Hybrid,Y,,,Elsevier,2023-2025
Harmful Algae,1568-9883,Hybrid,Y,,,Elsevier,2023-2025
Health & Place,1353-8292,Hybrid,Y,,,Elsevier,2023-2025
Health Policy,0168-8510,Hybrid,Y,,,Elsevier,2023-2025
Health Policy and Technology,2211-8837,Hybrid,Y,,,Elsevier,2023-2025
Healthcare: The Journal of Delivery Science and Innovation,2213-0764,Hybrid,Y,,,Elsevier,2023-2025
Hearing Research,0378-5955,Hybrid,Y,,,Elsevier,2023-2025
Heart & Lung,0147-9563,Hybrid,Y,,,Elsevier,2023-2025
Heart Rhythm,1547-5271,Hybrid,Y,,,Elsevier,2023-2025
"Heart, Lung and Circulation",1443-9506,Hybrid,Y,,,Elsevier,2023-2025
High Energy Density Physics,1574-1818,Hybrid,Y,,,Elsevier,2023-2025
Hipertensión y Riesgo Vascular,1889-1837,Hybrid,Y,,,Elsevier,2023-2025
Historia Mathematica,0315-0860,Hybrid,Y,,,Elsevier,2023-2025
Hormones and Behavior,0018-506X,Hybrid,Y,,,Elsevier,2023-2025
HPB,1365-182X,Hybrid,Y,,,Elsevier,2023-2025
Human Gene,2773-0441,Hybrid,Y,,,Elsevier,2023-2025
Human Immunology,0198-8859,Hybrid,Y,,,Elsevier,2023-2025
Human Movement Science,0167-9457,Hybrid,Y,,,Elsevier,2023-2025
Human Pathology,0046-8177,Hybrid,Y,,,Elsevier,2023-2025
Human Resource Management Review,1053-4822,Hybrid,Y,,,Elsevier,2023-2025
Hydrometallurgy,0304-386X,Hybrid,Y,,,Elsevier,2023-2025
Icarus,0019-1035,Hybrid,Y,,,Elsevier,2023-2025
IFAC Journal of Systems and Control,2468-6018,Hybrid,Y,,,Elsevier,2023-2025
Image and Vision Computing,0262-8856,Hybrid,Y,,,Elsevier,2023-2025
Imagerie de la Femme,1776-9817,Hybrid,Y,,,Elsevier,2023-2025
Immunobiology,0171-2985, Gold,N,APC discount available,,Elsevier,2023-2025
Immunology Letters,0165-2478,Hybrid,Y,,,Elsevier,2023-2025
In Analysis,2542-3606,Hybrid,Y,,,Elsevier,2023-2025
Indagationes Mathematicae,0019-3577,Hybrid,Y,,,Elsevier,2023-2025
Indian Journal of Medical Microbiology,0255-0857,Hybrid,Y,,,Elsevier,2023-2025
Industrial Crops and Products,0926-6690, Gold,N,APC discount available,,Elsevier,2023-2025
Industrial Marketing Management,0019-8501,Hybrid,Y,,,Elsevier,2023-2025
Infant Behavior and Development,0163-6383,Hybrid,Y,,,Elsevier,2023-2025
"Infection, Disease & Health",2468-0451,Hybrid,Y,,,Elsevier,2023-2025
Infectious Diseases Now,2666-9919,Hybrid,Y,,,Elsevier,2023-2025
Information & Management,0378-7206,Hybrid,Y,,,Elsevier,2023-2025
Information and Computation,0890-5401,Hybrid,Y,,,Elsevier,2023-2025
Information and Organization,1471-7727,Hybrid,Y,,,Elsevier,2023-2025
Information and Software Technology,0950-5849,Hybrid,Y,,,Elsevier,2023-2025
Information Economics and Policy,0167-6245,Hybrid,Y,,,Elsevier,2023-2025
Information Fusion,1566-2535,Hybrid,Y,,,Elsevier,2023-2025
Information Processing & Management,0306-4573,Hybrid,Y,,,Elsevier,2023-2025
Information Processing Letters,0020-0190,Hybrid,Y,,,Elsevier,2023-2025
Information Sciences,0020-0255,Hybrid,Y,,,Elsevier,2023-2025
Information Systems,0306-4379,Hybrid,Y,,,Elsevier,2023-2025
Infrared Physics & Technology,1350-4495,Hybrid,Y,,,Elsevier,2023-2025
Injury,0020-1383,Hybrid,Y,,,Elsevier,2023-2025
Innovative Food Science and Emerging Technologies,1466-8564,Hybrid,Y,,,Elsevier,2023-2025
Inorganic Chemistry Communications,1387-7003,Hybrid,Y,,,Elsevier,2023-2025
Inorganica Chimica Acta,0020-1693,Hybrid,Y,,,Elsevier,2023-2025
Insect Biochemistry and Molecular Biology,0965-1748,Hybrid,Y,,,Elsevier,2023-2025
Insurance: Mathematics and Economics,0167-6687,Hybrid,Y,,,Elsevier,2023-2025
Integration,0167-9260,Hybrid,Y,,,Elsevier,2023-2025
Intelligence,0160-2896,Hybrid,Y,,,Elsevier,2023-2025
Intensive and Critical Care Nursing,0964-3397,Hybrid,Y,,,Elsevier,2023-2025
Intermetallics,0966-9795,Hybrid,Y,,,Elsevier,2023-2025
International Biodeterioration & Biodegradation,0964-8305,Hybrid,Y,,,Elsevier,2023-2025
International Business Review,0969-5931,Hybrid,Y,,,Elsevier,2023-2025
International Communications in Heat and Mass Transfer,0735-1933,Hybrid,Y,,,Elsevier,2023-2025
International Dairy Journal,0958-6946,Hybrid,Y,,,Elsevier,2023-2025
International Economics,2110-7017,Hybrid,Y,,,Elsevier,2023-2025
International Emergency Nursing,1755-599X,Hybrid,Y,,,Elsevier,2023-2025
International Immunopharmacology,1567-5769,Hybrid,Y,,,Elsevier,2023-2025
International Journal for Parasitology,0020-7519,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Accounting Information Systems,1467-0895,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Adhesion and Adhesives,0143-7496,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Antimicrobial Agents,0924-8579,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Approximate Reasoning,0888-613X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Biological Macromolecules,0141-8130,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Cardiology,0167-5273,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Child-Computer Interaction,2212-8689,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Coal Geology,0166-5162,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Critical Infrastructure Protection,1874-5482,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Disaster Risk Reduction,2212-4209,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Drug Policy,0955-3959,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Educational Development,0738-0593,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Educational Research,0883-0355,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Electrical Power & Energy Systems,0142-0615, Gold,N,APC discount available,,Elsevier,2023-2025
International Journal of Engineering Science,0020-7225,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Fatigue,0142-1123,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Food Microbiology,0168-1605,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Forecasting,0169-2070,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Gastronomy and Food Science,1878-450X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Greenhouse Gas Control,1750-5836,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Gynecological Cancer,1048-891X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Heat and Fluid Flow,0142-727X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Heat and Mass Transfer,0017-9310,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Hospitality Management,0278-4319,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Human-Computer Studies,1071-5819,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Hydrogen Energy,0360-3199,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Hygiene and Environmental Health,1438-4639,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Impact Engineering,0734-743X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Industrial Ergonomics,0169-8141,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Industrial Organization,0167-7187,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Information Management,0268-4012,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Intercultural Relations,0147-1767,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Law and Psychiatry,0160-2527,Hybrid,Y,,,Elsevier,2023-2025
"International Journal of Law, Crime and Justice",1756-0616,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Machine Tools and Manufacture,0890-6955,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Mass Spectrometry,1387-3806,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Mechanical Sciences,0020-7403,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Medical Informatics,1386-5056,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Multiphase Flow,0301-9322,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Non-Linear Mechanics,0020-7462,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Nursing Studies,0020-7489,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Obstetric Anesthesia,0959-289X,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Oral and Maxillofacial Surgery,0901-5027,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Orthopaedic and Trauma Nursing,1878-1241,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Osteopathic Medicine,1746-0689,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Paleopathology,1879-9817,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Pediatric Otorhinolaryngology,0165-5876,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Pharmaceutics,0378-5173,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Plasticity,0749-6419,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Pressure Vessels and Piping,0308-0161,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Production Economics,0925-5273,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Project Management,0263-7863,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Psychophysiology,0167-8760,Hybrid,Y,,,Elsevier,2023-2025
"International Journal of Radiation Oncology, Biology, Physics",0360-3016,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Refractory Metals and Hard Materials,0263-4368,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Refrigeration,0140-7007,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Research in Marketing,0167-8116,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Rock Mechanics and Mining Sciences,1365-1609,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Solids and Structures,0020-7683,Hybrid,Y,,,Elsevier,2023-2025
International Journal of Thermal Sciences,1290-0729,Hybrid,Y,,,Elsevier,2023-2025
International Orthodontics,1761-7227,Hybrid,Y,,,Elsevier,2023-2025
International Review of Economics & Finance,1059-0560, Gold,N,APC discount available,,Elsevier,2023-2025
International Review of Economics Education,1477-3880,Hybrid,Y,,,Elsevier,2023-2025
International Review of Financial Analysis,1057-5219,Hybrid,Y,,,Elsevier,2023-2025
International Review of Law and Economics,0144-8188,Hybrid,Y,,,Elsevier,2023-2025
Internet of Things,2542-6605,Hybrid,Y,,,Elsevier,2023-2025
IRBM,1959-0318,Hybrid,Y,,,Elsevier,2023-2025
ISA Transactions,0019-0578,Hybrid,Y,,,Elsevier,2023-2025
ISPRS Journal of Photogrammetry and Remote Sensing,0924-2716,Hybrid,Y,,,Elsevier,2023-2025
JACC: Cardiovascular Imaging,1936-878X,Hybrid,Y,,,Elsevier,2023-2025
JACC: Cardiovascular Interventions,1936-8798,Hybrid,Y,,,Elsevier,2023-2025
JACC: Clinical Electrophysiology,2405-500X,Hybrid,Y,,,Elsevier,2023-2025
JACC: Heart Failure,2213-1779,Hybrid,Y,,,Elsevier,2023-2025
Japan and the World Economy,0922-1425,Hybrid,Y,,,Elsevier,2023-2025
Joint Bone Spine,1297-319X,Hybrid,Y,,,Elsevier,2023-2025
Journal de Chirurgie Viscérale,1878-786X,Hybrid,Y,,,Elsevier,2023-2025
Journal de Mathématiques Pures et Appliquées,0021-7824,Hybrid,Y,,,Elsevier,2023-2025
Journal de Pédiatrie et de Puériculture,0987-7983,Hybrid,Y,,,Elsevier,2023-2025
Journal de Traumatologie du Sport,0762-915X,Hybrid,Y,,,Elsevier,2023-2025
Journal d'Imagerie Diagnostique et Interventionnelle,2543-3431,Hybrid,Y,,,Elsevier,2023-2025
Journal for Nature Conservation,1617-1381,Hybrid,Y,,,Elsevier,2023-2025
Journal Français d'Ophtalmologie,0181-5512,Hybrid,Y,,,Elsevier,2023-2025
Journal of AAPOS,1091-8531,Hybrid,Y,,,Elsevier,2023-2025
Journal of Accounting and Economics,0165-4101,Hybrid,Y,,,Elsevier,2023-2025
Journal of Accounting and Public Policy,0278-4254,Hybrid,Y,,,Elsevier,2023-2025
Journal of Accounting Education,0748-5751,Hybrid,Y,,,Elsevier,2023-2025
Journal of Adolescent Health,1054-139X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Aerosol Science,0021-8502,Hybrid,Y,,,Elsevier,2023-2025
Journal of Affective Disorders,0165-0327,Hybrid,Y,,,Elsevier,2023-2025
Journal of African Earth Sciences,1464-343X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Aging Studies,0890-4065,Hybrid,Y,,,Elsevier,2023-2025
Journal of Air Transport Management,0969-6997,Hybrid,Y,,,Elsevier,2023-2025
Journal of Algebra,0021-8693,Hybrid,Y,,,Elsevier,2023-2025
Journal of Allergy and Clinical Immunology,0091-6749,Hybrid,Y,,,Elsevier,2023-2025
Journal of Alloys and Compounds,0925-8388,Hybrid,Y,,,Elsevier,2023-2025
Journal of Alloys and Compounds Communications,2950-2845,Hybrid,Y,,,Elsevier,2023-2025
Journal of Analytical and Applied Pyrolysis,0165-2370,Hybrid,Y,,,Elsevier,2023-2025
Journal of Anthropological Archaeology,0278-4165,Hybrid,Y,,,Elsevier,2023-2025
Journal of Anxiety Disorders,0887-6185,Hybrid,Y,,,Elsevier,2023-2025
Journal of Applied Developmental Psychology,0193-3973,Hybrid,Y,,,Elsevier,2023-2025
Journal of Applied Geophysics,0926-9851,Hybrid,Y,,,Elsevier,2023-2025
Journal of Applied Research on Medicinal and Aromatic Plants,2214-7861,Hybrid,Y,,,Elsevier,2023-2025
Journal of Approximation Theory,0021-9045,Hybrid,Y,,,Elsevier,2023-2025
Journal of Archaeological Science,0305-4403,Hybrid,Y,,,Elsevier,2023-2025
Journal of Archaeological Science: Reports,2352-409X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Arid Environments,0140-1963,Hybrid,Y,,,Elsevier,2023-2025
Journal of Arthroplasty,0883-5403,Hybrid,Y,,,Elsevier,2023-2025
Journal of Asian Earth Sciences,1367-9120,Hybrid,Y,,,Elsevier,2023-2025
Journal of Asian Economics,1049-0078,Hybrid,Y,,,Elsevier,2023-2025
Journal of Asia-Pacific Entomology,1226-8615,Hybrid,Y,,,Elsevier,2023-2025
Journal of Atmospheric and Solar-Terrestrial Physics,1364-6826,Hybrid,Y,,,Elsevier,2023-2025
Journal of Autoimmunity,0896-8411,Hybrid,Y,,,Elsevier,2023-2025
Journal of Banking & Finance,0378-4266,Hybrid,Y,,,Elsevier,2023-2025
Journal of Behavior Therapy and Experimental Psychiatry,0005-7916,Hybrid,Y,,,Elsevier,2023-2025
Journal of Behavioral and Cognitive Therapy,2589-9791,Hybrid,Y,,,Elsevier,2023-2025
Journal of Behavioral and Experimental Economics,2214-8043,Hybrid,Y,,,Elsevier,2023-2025
Journal of Behavioral and Experimental Finance,2214-6350,Hybrid,Y,,,Elsevier,2023-2025
Journal of Biomechanics,0021-9290,Hybrid,Y,,,Elsevier,2023-2025
Journal of Biomedical Informatics,1532-0464,Hybrid,Y,,,Elsevier,2023-2025
Journal of Biotechnology,0168-1656,Hybrid,Y,,,Elsevier,2023-2025
Journal of Bodywork and Movement Therapies,1360-8592,Hybrid,Y,,,Elsevier,2023-2025
Journal of Building Engineering,2352-7102,Hybrid,Y,,,Elsevier,2023-2025
Journal of Business Research,0148-2963,Hybrid,Y,,,Elsevier,2023-2025
Journal of Business Venturing,0883-9026,Hybrid,Y,,,Elsevier,2023-2025
Journal of Business Venturing Design,2667-2774,Hybrid,Y,,,Elsevier,2023-2025
Journal of Business Venturing Insights,2352-6734,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cancer Policy,2213-5383,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cardiac Failure,1071-9164,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cardiology,0914-5087,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cardiology Cases,1878-5409,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cardiothoracic and Vascular Anesthesia,1053-0770,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cardiovascular Computed Tomography,1934-5925,Hybrid,Y,,,Elsevier,2023-2025
Journal of Catalysis,0021-9517,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cereal Science,0733-5210,Hybrid,Y,,,Elsevier,2023-2025
Journal of Chiropractic Humanities,1556-3499,Hybrid,Y,,,Elsevier,2023-2025
Journal of Chiropractic Medicine,1556-3707,Hybrid,Y,,,Elsevier,2023-2025
Journal of Choice Modelling,1755-5345,Hybrid,Y,,,Elsevier,2023-2025
Journal of Chromatography A,0021-9673,Hybrid,Y,,,Elsevier,2023-2025
Journal of Chromatography B,1570-0232,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cleaner Production,0959-6526,Hybrid,Y,,,Elsevier,2023-2025
Journal of Climate Finance,2949-7280,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical and Experimental Hepatology,0973-6883,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Anesthesia,0952-8180,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Densitometry,1094-6950,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Epidemiology,0895-4356,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Lipidology,1933-2874,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Neuroscience,0967-5868,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Orthopaedics and Trauma,0976-5662,Hybrid,Y,,,Elsevier,2023-2025
Journal of Clinical Virology,1386-6532,Hybrid,Y,,,Elsevier,2023-2025
Journal of CO2 Utilization,2212-9820, Gold,N,APC discount available,,Elsevier,2023-2025
Journal of Colloid and Interface Science,0021-9797,Hybrid,Y,,,Elsevier,2023-2025
"Journal of Combinatorial Theory, Series A",0097-3165,Hybrid,Y,,,Elsevier,2023-2025
"Journal of Combinatorial Theory, Series B",0095-8956,Hybrid,Y,,,Elsevier,2023-2025
Journal of Commodity Markets,2405-8513,Hybrid,Y,,,Elsevier,2023-2025
Journal of Communication Disorders,0021-9924,Hybrid,Y,,,Elsevier,2023-2025
Journal of Comparative Economics,0147-5967,Hybrid,Y,,,Elsevier,2023-2025
Journal of Comparative Pathology,0021-9975,Hybrid,Y,,,Elsevier,2023-2025
Journal of Complexity,0885-064X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Computational and Applied Mathematics,0377-0427,Hybrid,Y,,,Elsevier,2023-2025
Journal of Computational Physics,0021-9991,Hybrid,Y,,,Elsevier,2023-2025
Journal of Computational Science,1877-7503,Hybrid,Y,,,Elsevier,2023-2025
Journal of Computer and System Sciences,0022-0000,Hybrid,Y,,,Elsevier,2023-2025
Journal of Computer Languages,2590-1184,Hybrid,Y,,,Elsevier,2023-2025
Journal of Constructional Steel Research,0143-974X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Contaminant Hydrology,0169-7722,Hybrid,Y,,,Elsevier,2023-2025
Journal of Contemporary Accounting & Economics,1815-5669,Hybrid,Y,,,Elsevier,2023-2025
Journal of Contextual Behavioral Science,2212-1447,Hybrid,Y,,,Elsevier,2023-2025
Journal of Controlled Release,0168-3659,Hybrid,Y,,,Elsevier,2023-2025
Journal of Co-operative Organization and Management,2213-297X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Corporate Finance,0929-1199,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cranio-Maxillofacial Surgery,1010-5182,Hybrid,Y,,,Elsevier,2023-2025
Journal of Criminal Justice,0047-2352,Hybrid,Y,,,Elsevier,2023-2025
Journal of Critical Care,0883-9441,Hybrid,Y,,,Elsevier,2023-2025
Journal of Crystal Growth,0022-0248,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cultural Heritage,1296-2074,Hybrid,Y,,,Elsevier,2023-2025
Journal of Cystic Fibrosis,1569-1993,Hybrid,Y,,,Elsevier,2023-2025
Journal of Dentistry,0300-5712,Hybrid,Y,,,Elsevier,2023-2025
Journal of Dermatological Science,0923-1811,Hybrid,Y,,,Elsevier,2023-2025
Journal of Destination Marketing & Management,2212-571X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Development Economics,0304-3878,Hybrid,Y,,,Elsevier,2023-2025
Journal of Diabetes and its Complications,1056-8727,Hybrid,Y,,,Elsevier,2023-2025
Journal of Differential Equations,0022-0396,Hybrid,Y,,,Elsevier,2023-2025
Journal of Drug Delivery Science and Technology,1773-2247,Hybrid,Y,,,Elsevier,2023-2025
Journal of Econometrics,0304-4076,Hybrid,Y,,,Elsevier,2023-2025
Journal of Economic Behavior & Organization,0167-2681,Hybrid,Y,,,Elsevier,2023-2025
Journal of Economic Dynamics and Control,0165-1889,Hybrid,Y,,,Elsevier,2023-2025
Journal of Economic Psychology,0167-4870,Hybrid,Y,,,Elsevier,2023-2025
Journal of Economic Theory,0022-0531,Hybrid,Y,,,Elsevier,2023-2025
Journal of Economics and Business,0148-6195,Hybrid,Y,,,Elsevier,2023-2025
Journal of Electroanalytical Chemistry,1572-6657,Hybrid,Y,,,Elsevier,2023-2025
Journal of Electrocardiology,0022-0736,Hybrid,Y,,,Elsevier,2023-2025
Journal of Electromyography and Kinesiology,1050-6411,Hybrid,Y,,,Elsevier,2023-2025
Journal of Electron Spectroscopy and Related Phenomena,0368-2048,Hybrid,Y,,,Elsevier,2023-2025
Journal of Electrostatics,0304-3886,Hybrid,Y,,,Elsevier,2023-2025
Journal of Emergency Nursing,0099-1767,Hybrid,Y,,,Elsevier,2023-2025
Journal of Empirical Finance,0927-5398,Hybrid,Y,,,Elsevier,2023-2025
Journal of Endodontics,0099-2399,Hybrid,Y,,,Elsevier,2023-2025
Journal of Energy Chemistry,2095-4956,Hybrid,Y,,,Elsevier,2023-2025
Journal of Energy Storage,2352-152X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Engineering and Technology Management,0923-4748,Hybrid,Y,,,Elsevier,2023-2025
Journal of English for Academic Purposes,1475-1585,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Chemical Engineering,2213-3437,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Economics and Management,0095-0696,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Management,0301-4797,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Psychology,0272-4944,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Radioactivity,0265-931X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Environmental Sciences,1001-0742,Hybrid,Y,,,Elsevier,2023-2025
Journal of Epidemiology and Population Health,2950-4333,Hybrid,Y,,,Elsevier,2023-2025
Journal of Equine Veterinary Science,0737-0806,Hybrid,Y,,,Elsevier,2023-2025
Journal of Ethnopharmacology,0378-8741,Hybrid,Y,,,Elsevier,2023-2025
Journal of Evidence-Based Dental Practice,1532-3382,Hybrid,Y,,,Elsevier,2023-2025
Journal of Exotic Pet Medicine,1557-5063,Hybrid,Y,,,Elsevier,2023-2025
Journal of Experimental Child Psychology,0022-0965,Hybrid,Y,,,Elsevier,2023-2025
Journal of Experimental Marine Biology and Ecology,0022-0981,Hybrid,Y,,,Elsevier,2023-2025
Journal of Experimental Social Psychology,0022-1031,Hybrid,Y,,,Elsevier,2023-2025
Journal of Family Business Strategy,1877-8585,Hybrid,Y,,,Elsevier,2023-2025
Journal of Financial Economics,0304-405X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Financial Intermediation,1042-9573,Hybrid,Y,,,Elsevier,2023-2025
Journal of Financial Markets,1386-4181,Hybrid,Y,,,Elsevier,2023-2025
Journal of Financial Stability,1572-3089,Hybrid,Y,,,Elsevier,2023-2025
Journal of Fluency Disorders,0094-730X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Fluids and Structures,0889-9746,Hybrid,Y,,,Elsevier,2023-2025
Journal of Fluorine Chemistry,0022-1139,Hybrid,Y,,,Elsevier,2023-2025
Journal of Food Composition and Analysis,0889-1575,Hybrid,Y,,,Elsevier,2023-2025
Journal of Food Engineering,0260-8774,Hybrid,Y,,,Elsevier,2023-2025
Journal of Forensic and Legal Medicine,1752-928X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Functional Analysis,0022-1236,Hybrid,Y,,,Elsevier,2023-2025
Journal of Gastrointestinal Surgery,1091-255X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Genetics and Genomics,1673-8527,Hybrid,Y,,,Elsevier,2023-2025
Journal of Geochemical Exploration,0375-6742,Hybrid,Y,,,Elsevier,2023-2025
Journal of Geodynamics,0264-3707,Hybrid,Y,,,Elsevier,2023-2025
Journal of Geometry and Physics,0393-0440,Hybrid,Y,,,Elsevier,2023-2025
Journal of Geriatric Oncology,1879-4068,Hybrid,Y,,,Elsevier,2023-2025
Journal of Great Lakes Research,0380-1330,Hybrid,Y,,,Elsevier,2023-2025
Journal of Gynecology Obstetrics and Human Reproduction,2468-7847,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hand and Microsurgery,0974-3227,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hand Therapy,0894-1130,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hazardous Materials,0304-3894,Hybrid,Y,,,Elsevier,2023-2025
Journal of Health Economics,0167-6296,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hepatology,0168-8278,Hybrid,Y,,,Elsevier,2023-2025
Journal of Herbal Medicine,2210-8033,Hybrid,Y,,,Elsevier,2023-2025
Journal of High Energy Astrophysics,2214-4048,Hybrid,Y,,,Elsevier,2023-2025
Journal of Historical Geography,0305-7488,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hospital Infection,0195-6701,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hospitality and Tourism Management,1447-6770,Hybrid,Y,,,Elsevier,2023-2025
"Journal of Hospitality, Leisure, Sport & Tourism Education",1473-8376,Hybrid,Y,,,Elsevier,2023-2025
Journal of Housing Economics,1051-1377,Hybrid,Y,,,Elsevier,2023-2025
Journal of Human Evolution,0047-2484,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hydro-environment Research,1570-6443,Hybrid,Y,,,Elsevier,2023-2025
Journal of Hydrology,0022-1694,Hybrid,Y,,,Elsevier,2023-2025
Journal of Immunological Methods,0022-1759,Hybrid,Y,,,Elsevier,2023-2025
Journal of Industrial and Engineering Chemistry,1226-086X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Industrial Information Integration,2452-414X,Hybrid,Y,,,Elsevier,2023-2025
Journal of Infection,0163-4453, Gold,N,APC discount available,,Elsevier,2023-2025
Journal of Information Security and Applications,2214-2126,Hybrid,Y,,,Elsevier,2023-2025
Journal of Informetrics,1751-1577,Hybrid,Y,,,Elsevier,2023-2025
Journal of Inorganic Biochemistry,0162-0134,Hybrid,Y,,,Elsevier,2023-2025
Journal of Insect Physiology,0022-1910,Hybrid,Y,,,Elsevier,2023-2025
Journal of Integrative Medicine,2095-4964,Hybrid,Y,,,Elsevier,2023-2025
