Journal title	ISSN	eISSN	Publisher details	Open Access Status
Journal of Computer and System Sciences	0022-0000	1090-2724	Academic Press Inc.	
Journal of Computer and Systems Sciences International	1064-2307	1555-6530	Pleiades Publishing	
Journal of Computer Applications in Archaeology	-	2514-8362	Ubiquity Press	Unpaywall Open Access
Journal of Computer Assisted Learning	0266-4909	1365-2729	Wiley-Blackwell Publishing Ltd	
Journal of Computer Assisted Tomography	0363-8715	1532-3145	Lippincott Williams and Wilkins Ltd.	
Journal of Computer Information Systems	0887-4417	-	Taylor and Francis Ltd.	
Journal of Computer Languages	2665-9182	2590-1184	Elsevier Ltd	
Journal of Computer Networks and Communications	2090-7141	2090-715X	John Wiley and Sons Ltd	Unpaywall Open Access
Journal of Computer Science	1549-3636	-	Science Publications	
Journal of Computer Science and Technology	1000-9000	1860-4749	Springer New York	
Journal of Computer Science and Technology (Argentina)	1666-6046	1666-6038	Facultad de Informatica, Universidad Nacional de La Plata	Unpaywall Open Access
Journal of Computer Security	0926-227X	1875-8924	IOS Press BV	
Journal of Computer Virology and Hacking Techniques	-	2263-8733	Springer Science + Business Media	
Journal of Computer-Aided Molecular Design	0920-654X	1573-4951	Springer Netherlands	
Journal of Computer-Mediated Communication	-	1083-6101	Oxford University Press	Unpaywall Open Access
Journal of Computers in Education	2197-9987	2197-9995	Springer Berlin	
Journal of Computing and Information Science in Engineering	1530-9827	-	The American Society of Mechanical Engineers(ASME)	
Journal of Computing and Information Technology	1330-1136	1846-3908	University of Zagreb Faculty of Electrical Engineering and Computing	Unpaywall Open Access
Journal of Computing in Civil Engineering	0887-3801	-	American Society of Civil Engineers (ASCE)	
Journal of Computing in Higher Education	1042-1726	1867-1233	Springer US	
Journal of Computing Science and Engineering	1976-4677	2093-8020	Korean Institute of Information Scientists and Engineers	
Journal of Condensed Matter Nuclear Science	-	2227-3123	The International Society for Condensed Matter Nuclear Science	
Journal of Conflict and Security Law	1467-7954	-	Oxford University Press	
Journal of Conflict Archaeology	1574-0773	1574-0781	Maney Publishing	
Journal of Conflict Resolution	0022-0027	-	SAGE Publications Inc.	
Journal of Confucian Philosophy and Culture	1598-267X	2734-1356	Sungkyunkwan University, Institute of Confucian Philosophy and Culture (ICPC)	
Journal of Consciousness Studies	1355-8250	2051-2201	Imprint Academic	
Journal of Conservation and Museum Studies	2049-4572	1364-0429	Ubiquity Press	Unpaywall Open Access
Journal of Conservative Dentistry and Endodontics	2950-4716	2950-4708	Wolters Kluwer Medknow Publications	
Journal of Construction Engineering and Management	0733-9364	1943-7862	American Society of Civil Engineers (ASCE)	
Journal of Construction in Developing Countries	1823-6499	2180-4222	Universiti Sains Malaysia	Unpaywall Open Access
Journal of Constructional Steel Research	0143-974X	-	Elsevier B.V.	
Journal of Constructivist Psychology	1072-0537	1521-0650	Taylor and Francis Ltd.	
Journal of Consulting and Clinical Psychology	0022-006X	-	American Psychological Association	
Journal of Consumer Affairs	0022-0078	1745-6606	Wiley-Blackwell	
Journal of Consumer Behaviour	1472-0817	1479-1838	Wiley-Blackwell	
Journal of Consumer Culture	1469-5405	1741-2900	SAGE Publications Ltd	
Journal of Consumer Health on the Internet	1539-8285	-	Taylor and Francis Ltd.	
Journal of Consumer Marketing	0736-3761	-	Emerald Group Publishing Ltd.	
Journal of Consumer Policy	0168-7034	1573-0700	Springer New York	
Journal of Consumer Psychology	1057-7408	1532-7663	John Wiley & Sons Inc.	
Journal of Consumer Research	0093-5301	1537-5277	Oxford University Press	
Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior	0899-8620	-	University of Nevada	
Journal of Contaminant Hydrology	0169-7722	1873-6009	Elsevier B.V.	
Journal of Contemporary Accounting and Economics	1815-5669	-	Elsevier Ltd	
Journal of Contemporary African Studies	0258-9001	1469-9397	Routledge	
Journal of Contemporary Applied Mathematics	2222-5498	3006-3183	Baku Engineering University	
Journal of Contemporary Archaeology	2051-3429	2051-3437	Equinox Publishing Ltd	
Journal of Contemporary Asia	0047-2336	1752-7554	Taylor and Francis Ltd.	
Journal of Contemporary Brachytherapy	1689-832X	-	Termedia Publishing House Ltd.	Unpaywall Open Access
Journal of Contemporary Central and Eastern Europe	2573-9638	2573-9646	Taylor and Francis Ltd.	
Journal of Contemporary China	1067-0564	1469-9400	Routledge	
Journal of Contemporary Chinese Art	2051-7041	2051-705X	Intellect Ltd.	
Journal of Contemporary Criminal Justice	1043-9862	1552-5406	SAGE Publications Inc.	
Journal of Contemporary Dental Practice	1526-3711	-	Jaypee Brothers Medical Publishers (P) Ltd	
Journal of Contemporary Drama in English	2195-0156	2195-0164	Walter de Gruyter GmbH	
Journal of Contemporary East Asia Studies	2476-1028	2476-1036	Routledge	Unpaywall Open Access
Journal of Contemporary Eastern Asia	-	2383-9449	World Association for Triple helix and Future strategy studies	
Journal of Contemporary Ethnography	0891-2416	1552-5414	SAGE Publications Inc.	
Journal of Contemporary European Research	1815-347X	-	UACES	Unpaywall Open Access
Journal of Contemporary European Studies	1478-2804	1478-2790	Routledge	
Journal of Contemporary History	0022-0094	1461-7250	SAGE Publications Ltd	
Journal of Contemporary Iraq and the Arab World	2515-8538	2515-8546	Intellect Ltd.	
Journal of Contemporary Mathematical Analysis	1068-3623	1934-9416	Pleiades Publishing	
Journal of Contemporary Orthodontics	-	2582-0478	IP Innovative Publication Pvt. Ltd.	
Journal of Contemporary Painting	2052-6695	2052-6709	Intellect Ltd.	
Journal of Contemporary Physics	1068-3372	1934-9378	Pleiades Publishing	
Journal of Contemporary Psychotherapy	0022-0116	1573-3564	Kluwer Academic/Human Sciences Press Inc.	
Journal of Contemporary Religion	1353-7903	1469-9419	Routledge	
Journal of Content, Community and Communication	2395-7514	2456-9011	Amity University	
Journal of Contextual Behavioral Science	2212-1447	-	Elsevier Inc.	
Journal of Contextual Economics-Schmollers Jahrbuch	2568-7603	2568-762X	Duncker und Humblot GmbH	
Journal of Contingencies and Crisis Management	0966-0879	1468-5973	Wiley-Blackwell Publishing Ltd	
Journal of Continuing Education in Nursing	0022-0124	1938-2472	Slack Incorporated	
Journal of Continuing Education in the Health Professions	0894-1912	1554-558X	Lippincott Williams and Wilkins	
Journal of Continuing Higher Education	0737-7363	1948-4801	Routledge	
Journal of Control and Decision	2330-7706	2330-7714	Taylor and Francis Ltd.	
Journal of Control Science and Engineering	1687-5249	1687-5257	John Wiley and Sons Ltd	Unpaywall Open Access
Journal of Control, Automation and Electrical Systems	2195-3880	2195-3899	Springer Science + Business Media	
Journal of Controlled Release	0168-3659	1873-4995	Elsevier B.V.	
Journal of Convention and Event Tourism	1547-0148	1547-0156	Routledge	
Journal of Convex Analysis	0944-6532	-	Heldermann Verlag	
Journal of Co-operative Organization and Management	2213-297X	-	Elsevier B.V.	
Journal of Coordination Chemistry	0095-8972	1029-0389	Taylor and Francis Ltd.	
Journal of Coptic Studies	1016-5584	1783-1512	Peeters Publishers	
Journal of Corporate Accounting and Finance	1044-8136	1097-0053	Wiley-Blackwell	
Journal of Corporate Finance	0929-1199	-	Elsevier B.V.	
Journal of Corporate Finance Research	-	2073-0438	National Research University, Higher School of Econoimics	Unpaywall Open Access
Journal of Corporate Law Studies	1473-5970	1757-8426	Taylor and Francis Ltd.	
Journal of Corporate Real Estate	1463-001X	1479-1048	Emerald Group Publishing Ltd.	
Journal of Correctional Health Care	1078-3458	1940-5200	Mary Ann Liebert Inc.	
Journal of Corrosion Science and Engineering	1466-8858	-	University of Manchester	
Journal of Cosmetic and Laser Therapy	1476-4172	1476-4180	Informa Healthcare	
Journal of Cosmetic Dermatology	1473-2130	1473-2165	John Wiley and Sons Inc	
Journal of Cosmetic Science	1525-7886	-	Society of Cosmetic Chemists	
Journal of Cosmology and Astroparticle Physics	1475-7516	-	IOP Publishing Ltd.	
Journal of Cotton Research	2096-5044	2523-3254	BioMed Central Ltd	Unpaywall Open Access
Journal of Cotton Science	1523-6919	1524-3303	National Cotton Council of America	
Journal of Counseling and Development	0748-9633	1556-6676	Wiley-Blackwell	
Journal of Counseling Psychology	0022-0167	-	American Psychological Association	
Journal of Counselor Leadership and Advocacy	-	2326-7178	Taylor and Francis Ltd.	
Journal of Couple and Relationship Therapy	1533-2691	1533-2683	Routledge	
Journal of Craniofacial Surgery	1049-2275	1536-3732	Lippincott Williams and Wilkins	
Journal of Cranio-Maxillofacial Surgery	1010-5182	1878-4119	Churchill Livingstone	
Journal of Craniovertebral Junction and Spine	0974-8237	0976-9285	Wolters Kluwer Medknow Publications	Unpaywall Open Access
Journal of Creating Value	2394-9643	2454-213X	SAGE Publications Inc.	
Journal of Creative Behavior	0022-0175	2162-6057	John Wiley & Sons Inc.	
Journal of Creative Communications	0973-2586	0973-2594	SAGE Publications Ltd	
Journal of Creative Music Systems	-	2399-7656	University of Huddersfield Press	Unpaywall Open Access
Journal of Creativity	-	2713-3745	Elsevier Ltd	Unpaywall Open Access
Journal of Creativity in Mental Health	1540-1383	1540-1391	Routledge	
Journal of Credit Risk	1744-6619	1755-9723	Incisive Media Ltd.	
Journal of Crime and Justice	0735-648X	2158-9119	Taylor and Francis Ltd.	
Journal of Criminal Justice	0047-2352	-	Elsevier B.V.	
Journal of Criminal Justice Education	1051-1253	1745-9117	Taylor and Francis Ltd.	
Journal of Criminal Law	0022-0183	1740-5580	SAGE Publications Inc.	
Journal of Criminal Law and Criminology	0091-4169	-	Northwestern University	
Journal of Criminal Psychology	2009-3829	2049-9388	Emerald Publishing	
Journal of Criminological Research, Policy and Practice	2056-3841	2056-385X	Emerald Group Publishing Ltd.	
Journal of Criminology	2633-8076	2633-8084	SAGE Publications Ltd	
Journal of Critical and Intensive Care	-	2717-6428	Society of Turkish Intensivists	
Journal of Critical Care	0883-9441	1557-8615	W.B. Saunders	
Journal of Critical Care Medicine	2393-1817	2393-1809	Sciendo	Unpaywall Open Access
Journal of Critical Infrastructure Policy	-	2693-3101	John Wiley and Sons Inc	Unpaywall Open Access
Journal of Critical Limb Ischemia	-	2694-3026	HMP Global	
Journal of Critical Realism	1476-7430	1572-5138	Maney Publishing	
Journal of Crohn's and Colitis	1873-9946	1876-4479	Oxford University Press	
Journal of Crop Health	2948-264X	2948-2658	Springer Science and Business Media Deutschland GmbH	
Journal of Crop Improvement	1542-7528	1542-7536	Taylor and Francis Ltd.	
Journal of Crop Protection	2251-9041	2251-905X	Tarbiat Modares University	
Journal of Crop Science and Biotechnology	1975-9479	2005-8276	Springer	
Journal of Cross-Cultural Gerontology	0169-3816	1573-0719	Springer New York	
Journal of Cross-Cultural Psychology	0022-0221	1552-5422	SAGE Publications Inc.	
Journal of Crustacean Biology	0278-0372	1937-240X	Brill Academic Publishers	
Journal of Cryptographic Engineering	2190-8508	2190-8516	Springer Science + Business Media	
Journal of Cryptologic Research	2095-7025	-	Chinese Association for Cryptologic Research	
Journal of Cryptology	0933-2790	1432-1378	Springer New York	
Journal of Crystal Growth	0022-0248	-	Elsevier B.V.	
Journal of Culinary Science and Technology	1542-8052	-	Taylor and Francis Ltd.	
Journal of Cultural Analysis and Social Change	-	2589-1316	Lectito	Unpaywall Open Access
Journal of Cultural Analytics	-	2371-4549	Department of Languages, Literatures, and Cultures, McGill University	Unpaywall Open Access
Journal of Cultural Cognitive Science	-	2520-1018	Springer International Publishing	
Journal of Cultural Economics	0885-2545	-	Springer New York	
Journal of Cultural Economy	1753-0350	1753-0369	Taylor and Francis Ltd.	
Journal of Cultural Geography	0887-3631	-	Taylor and Francis Ltd.	
Journal of Cultural Heritage	1296-2074	-	Elsevier Masson s.r.l.	
Journal of Cultural Heritage Management and Sustainable Development	2044-1266	2044-1274	Emerald Group Publishing Ltd.	
Journal of Cultural Marketing Strategy	2056-8002	2056-8010	Henry Stewart Publications	
Journal of Cuneiform Studies	0022-0256	2325-6737	University of Chicago Press	
Journal of Curatorial Studies	2045-5836	2045-5844	Intellect Ltd.	
Journal of Current Chinese Affairs	1868-4874	-	Institute of Asian Studies at the GIGA German Institute of Global and Area Studies	Unpaywall Open Access
Journal of Current Glaucoma Practice	0974-0333	0975-1947	Jaypee Brothers Medical Publishers (P) Ltd	
Journal of Current Issues and Research in Advertising	1064-1734	2164-7313	Taylor and Francis Ltd.	
Journal of Current Ophthalmology	-	2452-2325	Iranian Society of Opthalmology	Unpaywall Open Access
Journal of Current Science and Technology	2630-0583	2630-0656	Rangsit University	
Journal of Current Southeast Asian Affairs	1868-1034	1868-4882	SAGE Publications Ltd	Unpaywall Open Access
Journal of Curriculum and Pedagogy	1550-5170	2156-8154	Taylor and Francis Ltd.	
Journal of Curriculum and Teaching	1927-2677	1927-2685	Sciedu Press	
Journal of Curriculum Studies	0022-0272	1366-5839	Taylor and Francis Ltd.	
Journal of Curriculum Studies Research	-	2690-2788	OpenED Network	Unpaywall Open Access
Journal of Cutaneous and Aesthetic Surgery	0974-2077	0974-5157	Scientific Scholar LLC	Unpaywall Open Access
Journal of Cutaneous Immunology and Allergy	-	2574-4593	Frontiers Media SA	Unpaywall Open Access
Journal of Cutaneous Medicine and Surgery	1203-4754	1615-7109	SAGE Publications Inc.	
Journal of Cutaneous Pathology	0303-6987	1600-0560	Wiley-Blackwell Publishing Ltd	
Journal of Cyber Security	2096-1146	-	Chinese Academy of Sciences	
Journal of Cyber Security and Mobility	2245-1439	2245-4578	River Publishers	
Journal of Cyber Security Technology	2374-2917	2374-2925	Taylor and Francis Ltd.	
Journal of Cybersecurity	-	2057-2093	Oxford University Press	Unpaywall Open Access
Journal of Cybersecurity and Information Management	2769-7851	2690-6775	American Scientific Publishing Group (ASPG)	
Journal of Cybersecurity and Privacy	-	2624-800X	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Journal of Cystic Fibrosis	1569-1993	1873-5010	Elsevier B.V.	
Journal of Cytology	0970-9371	0974-5165	Wolters Kluwer Medknow Publications	Unpaywall Open Access
Journal of Dairy Research	0022-0299	1469-7629	Cambridge University Press	
Journal of Dairy Science	0022-0302	1525-3198	Elsevier Inc.	Unpaywall Open Access
Journal of Dance and Somatic Practices	1757-1871	1757-188X	Intellect Ltd.	
Journal of Dance Education	1529-0824	2158-074X	Taylor and Francis Ltd.	
Journal of Dance Medicine and Science	1089-313X	2374-8060	Sage Publications	
Journal of Daoist Studies	1941-5516	1941-5524	University of Hawaii Press	
Journal of Data and Information Quality	1936-1955	1936-1963	Association for Computing Machinery (ACM)	
Journal of Data and Information Science	2096-157X	-	De Gruyter Open Ltd.	
Journal of Data Protection and Privacy	2398-1679	2398-1687	Henry Stewart Publications	
Journal of Data Science	1680-743X	1683-8602	Center for Applied Statistics, School of Statistics, Renmin University of China	Unpaywall Open Access
Journal of Data, Information and Management	2524-6356	2524-6364	Springer International Publishing	
Journal of Database Management	1063-8016	1533-8010	IGI Global	
Journal of Datta Meghe Institute of Medical Sciences University	0974-3901	2250-1231	Wolters Kluwer Medknow Publications	
Journal of Daylighting	2383-8701	-	Solarlits	Unpaywall Open Access
Journal of Deaf Studies and Deaf Education	1081-4159	1465-7325	Oxford University Press	
Journal of Decision Systems	1246-0125	2116-7052	Taylor and Francis Ltd.	
Journal of Deep Space Exploration	2096-9287	-	Beijing Institute of Technology Press	
Journal of Defense Analytics and Logistics	2399-6439	2399-6447	Emerald Publishing	Unpaywall Open Access
Journal of Defense Modeling and Simulation	1548-5129	1557-380X	SAGE Publications Inc.	
Journal of Degraded and Mining Lands Management	2339-076X	2502-2458	Brawijaya University	Unpaywall Open Access
Journal of Deliberative Democracy	2634-0488	-	International Association for Public Participation	Unpaywall Open Access
Journal of Democracy	1045-5736	1086-3214	Johns Hopkins University Press	
Journal of Demographic Economics	2054-0892	2054-0906	Cambridge University Press	
Journal of Dental Education	0022-0337	1930-7837	John Wiley & Sons Inc.	
Journal of Dental Hygiene	1043-254X	1553-0205	American Dental Hygienists' Association	
Journal of Dental Materials and Techniques	2322-4150	2252-0317	Mashhad University of Medical Sciences	
Journal of Dental Research	0022-0345	-	SAGE Publications Inc.	
Journal of Dental Research, Dental Clinics, Dental Prospects	2008-210X	2008-2118	Tabriz University of Medical Sciences Faculty of Dentistry	Unpaywall Open Access
Journal of Dental Sciences	1991-7902	2213-8862	Association for Dental Sciences of the Republic of China	Unpaywall Open Access
Journal of Dental Specialities	2320-7302	2393-9834	IP Innovative Publication Pvt. Ltd.	
Journal of Dentistry	0300-5712	-	Elsevier Ltd	
Journal of Dentistry (Iran)	2345-6485	2345-6418	Shiraz University of Medical Sciences	
Journal of Dentistry for Children	1551-8949	1935-5068	American Academy of Pediatric Dentistry	
Journal of Dentomaxillofacial Science	2503-0817	2503-0825	Universitas Hasanuddin Faculty of Dentistry	
Journal of Derivatives	1074-1240	-	Portfolio Management Research	
Journal of Derivatives and Quantitative Studies	1229-988X	2713-6647	Emerald Publishing	Unpaywall Open Access
Journal of Dermatological Science	0923-1811	1873-569X	Elsevier Ireland Ltd	
Journal of Dermatological Treatment	0954-6634	-	Informa Healthcare	Unpaywall Open Access
Journal of Dermatology	0385-2407	1346-8138	John Wiley and Sons Inc	
Journal of Dermatology and Dermatologic Surgery	2352-2410	2352-2429	Wolters Kluwer Medknow Publications	Unpaywall Open Access
Journal of Design	1606-8327	-	Chinese Institute of Design	
Journal of Design and Built Environment	1823-4208	2232-1500	University of Malaya	Unpaywall Open Access
Journal of Design History	0952-4649	1741-7279	Oxford University Press	
Journal of Design Research	1748-3050	1569-1551	Inderscience Enterprises Ltd	
Journal of Design, Business and Society	2055-2106	2055-2114	Intellect Ltd.	
Journal of Destination Marketing and Management	2212-571X	-	Elsevier Ltd	
Journal of Developing Societies	0169-796X	-	SAGE Publications Ltd	
Journal of Development Economics	0304-3878	-	Elsevier B.V.	
Journal of Development Effectiveness	1943-9342	1943-9407	Taylor and Francis Ltd.	
Journal of Development Studies	0022-0388	1743-9140	Routledge	
Journal of Developmental and Behavioral Pediatrics	0196-206X	1536-7312	Lippincott Williams and Wilkins Ltd.	
Journal of Developmental and Life-Course Criminology	2199-4641	2199-465X	Springer International Publishing AG	
Journal of Developmental and Physical Disabilities	1056-263X	1573-3580	Springer New York	
Journal of Developmental Biology	-	2221-3759	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Journal of Developmental Entrepreneurship	1084-9467	1793-706X	World Scientific	
Journal of Developmental Origins of Health and Disease	2040-1744	2040-1752	Cambridge University Press	
Journal of Dharma	0253-7222	-	Dharmaram College, Centre for the Study of World Religions	
Journal of Dharma Studies	2522-0926	2522-0934	Springer International Publishing AG	
Journal of Diabetes	1753-0393	1753-0407	Wiley-Blackwell	Unpaywall Open Access
Journal of Diabetes and its Complications	1056-8727	1873-460X	Elsevier Inc.	
Journal of Diabetes and Metabolic Disorders	-	2251-6581	Springer Science and Business Media Deutschland GmbH	
Journal of Diabetes Investigation	2040-1116	2040-1124	John Wiley and Sons Inc	Unpaywall Open Access
Journal of Diabetes Nursing	1368-1109	-	OmniaMed Communications Ltd	
Journal of Diabetes Research	2314-6745	2314-6753	John Wiley and Sons Ltd	Unpaywall Open Access
Journal of Diabetes Science and Technology	1932-2968	1932-2968	SAGE Publications Inc.	
Journal of Diabetology	2543-3288	2078-7685	Wolters Kluwer Medknow Publications	
Journal of Diagnostic Medical Sonography	8756-4793	1552-5430	SAGE Publications Inc.	
Journal of Dietary Supplements	1939-0211	1939-022X	Informa Healthcare	
Journal of Difference Equations and Applications	1023-6198	1563-5120	Taylor and Francis Ltd.	
Journal of Differential Equations	0022-0396	1090-2732	Academic Press Inc.	
Journal of Differential Geometry	0022-040X	1945-743X	International Press of Boston, Inc.	
Journal of Digestive Diseases	1751-2972	1751-2980	Wiley-Blackwell Publishing Ltd	
Journal of Digital and Social Media Marketing	2050-0076	2050-0084	Henry Stewart Publications	
Journal of Digital Economy	-	2773-0670	KeAi Publishing Communications Ltd.	
Journal of Digital Imaging	0897-1889	1618-727X	Springer Nature	
Journal of Digital Landscape Architecture	2367-4253	2511-624X	V D E Verlag GmbH	
Journal of Digital Learning in Teacher Education	2153-2974	2332-7383	Taylor and Francis Ltd.	
Journal of Digital Media and Policy	2516-3523	2516-3531	Intellect Ltd.	
Journal of Disability and Religion	2331-2521	2331-253X	Taylor and Francis Ltd.	
Journal of Disability Policy Studies	1044-2073	-	SAGE Publications Inc.	
Journal of Disability Studies in Education	2588-879X	2588-8803	Brill Academic Publishers	Unpaywall Open Access
Journal of Disaster Research	1881-2473	1883-8030	Fuji Technology Press	Unpaywall Open Access
Journal of Discrete Mathematical Sciences and Cryptography	0972-0529	-	Taru Publications	
Journal of Dispersion Science and Technology	0193-2691	1532-2351	Taylor and Francis Ltd.	
Journal of Distribution Science	1738-3110	2093-7717	KODISA Foundation	Unpaywall Open Access
Journal of Diversity in Higher Education	1938-8926	-	American Psychological Association	
Journal of Divorce and Remarriage	1050-2556	1540-4811	Routledge	
Journal of Doctoral Nursing Practice	2380-9418	2380-9426	Springer Publishing Company	
Journal of Documentation	0022-0418	-	Emerald Group Publishing Ltd.	
Journal of Donghua University (English Edition)	1672-5220	-	Dong Hua University	
Journal of Drug and Alcohol Research	2090-8334	2090-8342	Ashdin Publishing	
Journal of Drug Delivery Science and Technology	1773-2247	2588-8943	Editions de Sante	
Journal of Drug Education	0047-2379	1541-4159	SAGE Publications Inc.	
Journal of Drug Issues	0022-0426	1945-1369	SAGE Publications Inc.	
Journal of Drug Targeting	1061-186X	1029-2330	Informa Healthcare	
Journal of Drugs in Dermatology	1545-9616	-	Journal of Drugs in Dermatology	
Journal of Dual Diagnosis	1550-4263	1550-4271	Routledge	
Journal of Dynamic Behavior of Materials	2199-7446	2199-7454	Springer Nature	
Journal of Dynamic Systems, Measurement and Control	0022-0434	1528-9028	American Society of Mechanical Engineers (ASME)	
Journal of Dynamical and Control Systems	1079-2724	1573-8698	Springer New York	
Journal of Dynamics and Control	1672-6553	-	Journal of Dynamics and Control	
Journal of Dynamics and Differential Equations	1040-7294	-	Springer New York	
Journal of Dynamics and Games	-	2164-6074	American Institute of Mathematical Sciences	
Journal of Dynamics, Monitoring and Diagnostics	2833-650X	2831-5308	Intelligence Science and Technology Press Inc.	
Journal of Ear Nose Throat and Head Neck Surgery	1300-6525	2149-0880	Turkiye Klinikleri	Unpaywall Open Access
Journal of Early Adolescence	0272-4316	1552-5449	SAGE Publications Inc.	
Journal of Early American History	1877-0223	1877-0703	Brill Academic Publishers	
Journal of Early Childhood Literacy	1468-7984	-	SAGE Publications Ltd	
Journal of Early Childhood Research	1476-718X	1741-2927	SAGE Publications Ltd	
Journal of Early Childhood Teacher Education	1090-1027	1745-5642	Taylor and Francis Ltd.	
Journal of Early Christian History	2222-582X	2471-4054	Taylor and Francis Ltd.	
Journal of Early Christian Studies	1067-6341	-	Johns Hopkins University Press	
Journal of Early Intervention	1053-8151	2154-3992	SAGE Publications Inc.	
Journal of Early Modern Christianity	2196-6648	2196-6656	Walter de Gruyter GmbH	
Journal of Early Modern History	1385-3783	1570-0658	Brill Academic Publishers	
Journal of Early Modern Studies	2279-7149	-	Firenze University Press	Unpaywall Open Access
Journal of Earth Science	1674-487X	1867-111X	China University of Geosciences	
Journal of Earth Sciences and Environment	1672-6561	-	Chang'an University	
Journal of Earth System Science	2347-4327	0973-774X	Indian Academy of Sciences	
Journal of Earthquake and Tsunami	1793-4311	1793-7116	World Scientific	
Journal of Earthquake Engineering	1363-2469	1559-808X	Taylor and Francis Ltd.	
Journal of East Asia and International Law	1976-9229	-	Yijun Institute of International Law	
Journal of East Asian Cultures	2060-9655	2786-2976	Eotvos Lorand Tudomanyegyetem	
Journal of East Asian Linguistics	0925-8558	1572-8560	Springer Netherlands	
Journal of East Asian Studies	1598-2408	-	Cambridge University Press	
Journal of East European Management Studies	0949-6181	1862-0019	Taylor and Francis Ltd.	
Journal of Eastern African Studies	1753-1055	1753-1063	Routledge	
Journal of Eastern Mediterranean Archaeology and Heritage Studies	2166-3548	2166-3556	Penn State University Press	
Journal of East-West Business	1066-9868	1528-6959	Routledge	
Journal of Eating Disorders	2050-2974	-	BioMed Central Ltd	Unpaywall Open Access
Journal of Ecclesiastical History	0022-0469	1469-7637	Cambridge University Press	
Journal of Echocardiography	1349-0222	1880-344X	Springer Japan	
Journal of Ecohumanism	2752-6798	2752-6801	Creative Publishing House	
Journal of Ecohydraulics	2470-5357	2470-5365	Taylor and Francis Ltd.	
Journal of Ecological Engineering	2081-139X	2299-8993	Polskie Towarzystwo Inzynierii Ekologicznej (PTIE)	Unpaywall Open Access
Journal of Ecology	0022-0477	1365-2745	Wiley-Blackwell Publishing Ltd	
Journal of Ecology and Environment	2287-8327	2288-1220	Ecological Society of Korea	Unpaywall Open Access
Journal of Ecology and Rural Environment	1673-4831	-	China Environmental Science Press	
Journal of Econometric Methods	-	2156-6674	Walter de Gruyter GmbH	
Journal of Econometrics	0304-4076	1872-6895	Elsevier B.V.	
Journal of Economic and Administrative Sciences	2054-6238	2054-6246	Emerald Publishing	
Journal of Economic and Social Measurement	0747-9662	1875-8932	IOS Press BV	
Journal of Economic Asymmetries	1703-4949	-	Elsevier B.V.	
Journal of Economic Behavior and Organization	0167-2681	-	Elsevier B.V.	
Journal of Economic Cooperation and Development	1308-7800	-	Statistical Economic and Social Research and Training Centre for Islamic Countries	
Journal of Economic Development	0254-8372	-	Economic Research Institute of Chung-Ang University	
Journal of Economic Dynamics and Control	0165-1889	-	Elsevier B.V.	
Journal of Economic Education	0022-0485	-	Routledge	
Journal of Economic Entomology	0022-0493	-	Oxford University Press	
Journal of Economic Geography	1468-2702	1468-2710	Oxford University Press	
Journal of Economic Geology	2008-7306	2423-5865	Ferdowsi University of Mashhad	
Journal of Economic Growth	1381-4338	1573-7020	Springer New York	
Journal of Economic History	0022-0507	1471-6372	Cambridge University Press	
Journal of Economic Inequality	1569-1721	1573-8701	Springer Netherlands	
Journal of Economic Integration	1225-651X	1976-5525	Sejong University	
Journal of Economic Interaction and Coordination	1860-711X	1860-7128	Springer Verlag	
Journal of Economic Issues	0021-3624	-	Taylor and Francis Ltd.	
Journal of Economic Literature	0022-0515	-	American Economic Association	
Journal of Economic Methodology	1350-178X	1469-9427	Routledge	
Journal of Economic Perspectives	0895-3309	-	American Economic Association	
Journal of Economic Policy Reform	1748-7870	1748-7889	Routledge	
Journal of Economic Psychology	0167-4870	-	Elsevier B.V.	
Journal of Economic Structures	-	2193-2409	SpringerOpen	Unpaywall Open Access
Journal of Economic Studies	0144-3585	-	Emerald Group Publishing Ltd.	
Journal of Economic Surveys	0950-0804	1467-6419	Wiley-Blackwell Publishing Ltd	
Journal of Economic Theory	0022-0531	1095-7235	Academic Press Inc.	
Journal of Economic Theory and Econometrics	1229-2893	-	Korean Econometric Society	
Journal of Economics and Business	0148-6195	-	Elsevier Inc.	
Journal of Economics and Development	1859-0020	2632-5330	Emerald Publishing	Unpaywall Open Access
Journal of Economics and Finance	1055-0925	1938-9744	Springer New York	
Journal of Economics and Management (Poland)	1732-1948	2719-9975	University of Economics in Katowice	Unpaywall Open Access
Journal of Economics and Management Strategy	1058-6407	1530-9134	Wiley-Blackwell Publishing Ltd	
Journal of Economics, Finance and Administrative Science	2077-1886	2218-0648	ESAN University	Unpaywall Open Access
Journal of Economics, Race, and Policy	2520-8411	2520-842X	Springer International Publishing	
Journal of Economics/ Zeitschrift fur Nationalokonomie	0931-8658	1617-7134	Springer-Verlag Wien	
Journal of Ecotourism	1472-4049	1747-7638	Taylor and Francis Ltd.	
Journal of ECT	1095-0680	1533-4112	Lippincott Williams and Wilkins Ltd.	
Journal of Ecumenical Studies	0022-0558	2162-3937	University of Pennsylvania Press	
Journal of Education	2515-5741	0022-0574	Boston University, School of Education	
Journal of Education (South Africa)	0259-479X	2520-9868	University of KwaZulu-Natal	Unpaywall Open Access
