Journal title,ISSN,eISSN,Publisher details
HUMAN GENE THERAPY,1043-0342,1557-7422,"MARY ANN LIEBERT, INC"
HUMAN GENETICS,0340-6717,1432-1203,SPRINGER
HUMAN GENOMICS,1473-9542,1479-7364,BMC
HUMAN HEREDITY,0001-5652,1423-0062,KARGER
HUMAN IMMUNOLOGY,0198-8859,1879-1166,ELSEVIER SCIENCE INC
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,OXFORD UNIV PRESS
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,ELSEVIER
HUMAN MUTATION,1059-7794,1098-1004,WILEY
HUMAN PATHOLOGY,0046-8177,1532-8392,W B SAUNDERS CO-ELSEVIER INC
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,0885-6222,1099-1077,WILEY
HUMAN REPRODUCTION,0268-1161,1460-2350,OXFORD UNIV PRESS
HUMAN REPRODUCTION OPEN,,2399-3529,OXFORD UNIV PRESS
HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,OXFORD UNIV PRESS
HUMAN VACCINES & IMMUNOTHERAPEUTICS,2164-5515,2164-554X,TAYLOR & FRANCIS INC
HUMAN-WILDLIFE INTERACTIONS,2155-3858,2155-3874,JACK H BERRYMAN INST
HYDROBIOLOGIA,0018-8158,1573-5117,SPRINGER
HYDROGEOLOGY JOURNAL,1431-2174,1435-0157,SPRINGER
HYDROLOGICAL PROCESSES,0885-6087,1099-1085,WILEY
HYDROLOGICAL SCIENCES JOURNAL,0262-6667,2150-3435,TAYLOR & FRANCIS LTD
HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,1439-1783,,BUNDESANSTALT GEWASSERKUNDE-BFG
HYDROLOGY AND EARTH SYSTEM SCIENCES,1027-5606,1607-7938,COPERNICUS GESELLSCHAFT MBH
HYDROLOGY RESEARCH,1998-9563,2224-7955,IWA PUBLISHING
HYDROMETALLURGY,0304-386X,1879-1158,ELSEVIER
HYPERTENSION,0194-911X,1524-4563,LIPPINCOTT WILLIAMS & WILKINS
HYPERTENSION IN PREGNANCY,1064-1955,1525-6065,TAYLOR & FRANCIS INC
HYPERTENSION RESEARCH,0916-9636,1348-4214,SPRINGERNATURE
HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,0394-1914,1825-5272,ASSOC TERIOLOGICA ITALIANA
IAWA JOURNAL,0928-1541,2294-1932,BRILL
IBIS,0019-1019,1474-919X,WILEY
ICARUS,0019-1035,1090-2643,ACADEMIC PRESS INC ELSEVIER SCIENCE
ICELANDIC AGRICULTURAL SCIENCES,1670-567X,2298-786X,RANNSOKNASTOFNUN LANDBUNADARINS
ICES JOURNAL OF MARINE SCIENCE,1054-3139,1095-9289,OXFORD UNIV PRESS
ICGA JOURNAL,1389-6911,2468-2438,IOS PRESS
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,1042-0940,1563-5236,TAYLOR & FRANCIS INC
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,0936-9902,,VERLAG DR FRIEDRICH PFEIL
ICHTHYOLOGICAL RESEARCH,1341-8998,1616-3915,SPRINGER JAPAN KK
ICHTHYOLOGY AND HERPETOLOGY,2766-1512,2766-1520,AMER SOC ICHTHYOLOGISTS & HERPETOLOGISTS
ICT EXPRESS,2405-9595,2405-9595,ELSEVIER
IDEGGYOGYASZATI SZEMLE-CLINICAL NEUROSCIENCE,0019-1442,2498-6208,LITERATURA MEDICA
IDOJARAS,0324-6329,0324-6329,HUNGARIAN METEOROLOGICAL SERVICE
IEEE ACCESS,2169-3536,2169-3536,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,2329-9290,2329-9304,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,1545-5963,1557-9964,IEEE COMPUTER SOC
IEEE-ACM TRANSACTIONS ON NETWORKING,1063-6692,1558-2566,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,0885-8985,1557-959X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ANNALS OF THE HISTORY OF COMPUTING,1058-6180,1934-1547,IEEE COMPUTER SOC
IEEE ANTENNAS AND PROPAGATION MAGAZINE,1045-9243,1558-4143,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS,1536-1225,1548-5757,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1083-4435,1941-014X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE-CAA JOURNAL OF AUTOMATICA SINICA,2329-9266,2329-9274,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,,2694-1783,IEEE CANADA
IEEE CIRCUITS AND SYSTEMS MAGAZINE,1531-636X,1558-0830,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE COMMUNICATIONS LETTERS,1089-7798,1558-2558,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE COMMUNICATIONS MAGAZINE,0163-6804,1558-1896,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,,1553-877X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,1556-603X,1556-6048,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE COMPUTER ARCHITECTURE LETTERS,1556-6056,1556-6064,IEEE COMPUTER SOC
IEEE COMPUTER GRAPHICS AND APPLICATIONS,0272-1716,1558-1756,IEEE COMPUTER SOC
IEEE CONSUMER ELECTRONICS MAGAZINE,2162-2248,2162-2256,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE CONTROL SYSTEMS MAGAZINE,1066-033X,1941-000X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE DESIGN & TEST,2168-2356,2168-2364,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ELECTRICAL INSULATION MAGAZINE,0883-7554,1558-4402,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ELECTRON DEVICE LETTERS,0741-3106,1558-0563,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE EMBEDDED SYSTEMS LETTERS,1943-0663,1943-0671,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,1545-598X,1558-0571,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,2473-2397,2168-6831,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE INDUSTRIAL ELECTRONICS MAGAZINE,1932-4529,1941-0115,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE INDUSTRY APPLICATIONS MAGAZINE,1077-2618,1558-0598,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE INTELLIGENT SYSTEMS,1541-1672,1941-1294,IEEE COMPUTER SOC
IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE,1939-1390,1941-1197,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE INTERNET COMPUTING,1089-7801,1941-0131,IEEE COMPUTER SOC
IEEE INTERNET OF THINGS JOURNAL,2327-4662,2327-4662,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2168-2194,2168-2208,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,2168-6777,2168-6785,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF OCEANIC ENGINEERING,0364-9059,1558-1691,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF PHOTOVOLTAICS,2156-3381,2156-3403,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF QUANTUM ELECTRONICS,0018-9197,1558-1713,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,1939-1404,2151-1535,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,1077-260X,1558-4542,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,1932-4553,1941-0484,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF SOLID-STATE CIRCUITS,0018-9200,1558-173X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF THE ELECTRON DEVICES SOCIETY,2168-6734,2168-6734,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE,2168-2372,2168-2372,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,2156-3357,2156-3365,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE LATIN AMERICA TRANSACTIONS,1548-0992,1548-0992,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE MAGNETICS LETTERS,1949-307X,1949-3088,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE MICRO,0272-1732,1937-4143,IEEE COMPUTER SOC
IEEE MICROWAVE AND WIRELESS TECHNOLOGY LETTERS,2771-957X,2771-9588,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE MICROWAVE MAGAZINE,1527-3342,1557-9581,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE MULTIMEDIA,1070-986X,1941-0166,IEEE COMPUTER SOC
IEEE NETWORK,0890-8044,1558-156X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE PERVASIVE COMPUTING,1536-1268,1558-2590,IEEE COMPUTER SOC
IEEE PHOTONICS JOURNAL,1943-0655,1943-0647,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE PHOTONICS TECHNOLOGY LETTERS,1041-1135,1941-0174,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE POWER & ENERGY MAGAZINE,1540-7977,1558-4216,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE PULSE,2154-2287,2154-2317,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE REVIEWS IN BIOMEDICAL ENGINEERING,1937-3333,1941-1189,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ROBOTICS AND AUTOMATION LETTERS,2377-3766,2377-3766,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,1558-223X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE SECURITY & PRIVACY,1540-7993,1558-4046,IEEE COMPUTER SOC
IEEE SENSORS JOURNAL,1530-437X,1558-1748,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE SIGNAL PROCESSING LETTERS,1070-9908,1558-2361,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE SIGNAL PROCESSING MAGAZINE,1053-5888,1558-0792,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE SOFTWARE,0740-7459,1937-4194,IEEE COMPUTER SOC
IEEE SPECTRUM,0018-9235,1939-9340,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE SYSTEMS JOURNAL,1932-8184,1937-9234,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,0278-0097,1937-416X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,0018-9251,1557-9603,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,1949-3045,1949-3045,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,0018-926X,1558-2221,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1051-8223,1558-2515,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286,1558-2523,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,1545-5955,1558-3783,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON BIG DATA,2332-7790,2332-7790,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS,1932-4545,1940-9990,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,0018-9294,1558-2531,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON BROADCASTING,0018-9316,1557-9611,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1051-8215,1558-2205,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,1549-7747,1558-3791,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,1549-8328,1558-0806,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CLOUD COMPUTING,2168-7161,2168-7161,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,2379-8920,2379-8939,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,2332-7731,2332-7731,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,1558-0857,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING TECHNOLOGY,2156-3950,2156-3985,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING,2573-0436,2333-9403,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,2329-924X,2329-924X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,0278-0070,1937-4151,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON COMPUTERS,0018-9340,1557-9956,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,0098-3063,1558-4127,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS,2325-5870,2372-2533,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,1558-0865,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON CYBERNETICS,2168-2267,2168-2275,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,1545-5971,1941-0018,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1530-4388,1558-2574,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1070-9878,1558-4135,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON EDUCATION,0018-9359,1557-9638,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,0018-9375,1558-187X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ELECTRON DEVICES,0018-9383,1557-9646,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,2471-285X,2471-285X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,2168-6750,2168-6750,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ENERGY CONVERSION,0885-8969,1558-0059,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0018-9391,1558-0040,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1941-0026,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON GAMES,2475-1502,2475-1510,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892,1558-0644,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON GREEN COMMUNICATIONS AND NETWORKING,2473-2400,2473-2400,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON HAPTICS,1939-1412,2329-4051,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,2168-2291,2168-2305,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1557-9948,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,1551-3203,1941-0050,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,0093-9994,1939-9367,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,1556-6013,1556-6021,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INFORMATION THEORY,0018-9448,1557-9654,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,1557-9662,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,1524-9050,1558-0016,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,2379-8858,2379-8904,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1041-4347,1558-2191,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,1939-1382,1939-1382,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON MAGNETICS,0018-9464,1941-0069,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,0018-9480,1557-9670,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON MOBILE COMPUTING,1536-1233,1558-0660,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1941-0077,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1536-1241,1558-2639,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1536-125X,1941-0085,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,1932-4537,1932-4537,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,2327-4697,2327-4697,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,2162-237X,2162-2388,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1534-4320,1558-0210,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,0018-9499,1558-1578,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1045-9219,1558-2183,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON PLASMA SCIENCE,0093-3813,1939-9375,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON POWER DELIVERY,0885-8977,1937-4208,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON POWER ELECTRONICS,0885-8993,1941-0107,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON POWER SYSTEMS,0885-8950,1558-0679,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON RELIABILITY,0018-9529,1558-1721,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ROBOTICS,1552-3098,1941-0468,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0894-6507,1558-2345,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SERVICES COMPUTING,1939-1374,1939-1374,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS,2373-776X,2373-776X,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SIGNAL PROCESSING,1053-587X,1941-0476,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SMART GRID,1949-3053,1949-3061,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0098-5589,1939-3520,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON SUSTAINABLE COMPUTING,2377-3782,2377-3782,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,1949-3029,1949-3037,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,2168-2216,2168-2232,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON TERAHERTZ SCIENCE AND TECHNOLOGY,2156-342X,2156-3446,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION,2332-7782,2332-7782,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,0885-3010,1525-8955,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,1939-9359,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1063-8210,1557-9999,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1077-2626,1941-0506,IEEE COMPUTER SOC
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,1558-2248,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE VEHICULAR TECHNOLOGY MAGAZINE,1556-6072,1556-6080,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEE WIRELESS COMMUNICATIONS LETTERS,2162-2337,2162-2345,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
IEEJ TRANSACTIONS ON ELECTRICAL AND ELECTRONIC ENGINEERING,1931-4973,1931-4981,WILEY
IEICE ELECTRONICS EXPRESS,1349-2543,1349-2543,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
IEICE TRANSACTIONS ON COMMUNICATIONS,0916-8516,1745-1345,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
IEICE TRANSACTIONS ON ELECTRONICS,0916-8524,1745-1353,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,0916-8508,1745-1337,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,0916-8532,1745-1361,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
