Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
Journal of Contemporary Religion,1353-7903,1469-9419,Taylor & Francis,,United Kingdom,English,http://www.tandf.co.uk/journals/titles/13537903.asp
Journal of empirical theology,0922-2936,1570-9256,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/journal-empirical-theology
Journal of Feminist Studies in Religion,8755-4178,1553-3913,Indiana University Press,,United States,English,http://www.iupress.indiana.edu/pages.php?pID=84&CDpath=4
Journal of Hindu Studies,1756-4255,1756-4263,Oxford University Press,,United Kingdom,English,https://academic.oup.com/jhs
Journal of Islamic Studies,0955-2340,1471-6917,Oxford University Press,,United Kingdom,English,http://jis.oxfordjournals.org/
Journal of Jewish Studies,0022-2097,2056-6689,,Oxford Centre for Hebrew and Jewish Studies,United Kingdom,English,http://www.jjs-online.net/
Journal of Religious Ethics,0384-9694,1467-9795,John Wiley & Sons,"Journal of Religious Ethics, Inc.",United Kingdom,English,https://onlinelibrary.wiley.com/journal/14679795
Journal of Semitic Studies,0022-4480,1477-8556,Oxford University Press,,United Kingdom,English,http://www.oxfordjournals.org/our_journals/semitj/about.html
Journal of the American Academy of Religion,0002-7189,1477-4585,Oxford University Press,,United States,English,http://jaar.oxfordjournals.org/
Journal of Theological Studies,0022-5185,1477-4607,Oxford University Press,,United Kingdom,English,http://jts.oxfordjournals.org
Kerygma und Dogma,0023-0707,2196-8020,Vandenhoeck & Ruprecht,,Germany,German,https://www.vandenhoeck-ruprecht-verlage.com/zeitschriften-und-kapitel/9490/kerygma-und-dogma
Literature & Theology,0269-1205,1477-4623,,,,,http://www.oxfordjournals.org/
Lutherjahrbuch,0342-0914,2197-3857,Vandenhoeck & Ruprecht,,Germany,German,https://www.vandenhoeck-ruprecht-verlage.com/search?sSearch=Lutherjahrbuch&p=1
Method & Theory in the Study of Religion,0943-3058,1570-0682,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/method-theory-study-religion
Mission studies,0168-9789,1573-3831,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/mission-studies
Modern Theology,0266-7177,1468-0025,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14680025
Nag Hammadi and Manichaean Studies,0929-2470,,Brill Academic Publishers,,Netherlands,English,http://www.brill.nl/nhms
Neue Zeitschrift Für Systematische Theologie und Religionsphilosophie,0028-3517,1612-9520,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/nzst
New Testament Studies,0028-6885,1469-8145,Cambridge University Press,,United Kingdom,English,http://www.journals.cambridge.org/action/displayJournal?jid=NTS
Nordic Journal of Religion and Society,0809-7291,1890-7008,Scandinavian University Press (Universitetsforlaget),,Norway,English,https://www.idunn.no/nordic_journal_of_religion_and_society
Nova Religio,1092-6690,1541-8480,University of California Press,,United States,English,http://nr.ucpress.edu
Novum Testamentum,0048-1009,1568-5365,Brill Academic Publishers,,Netherlands,Multiple languages,https://brill.com/view/journals/nt/nt-overview.xml
Numen,0029-5973,1568-5276,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/journals/nu/nu-overview.xml
Religion,0048-721X,1096-1151,Taylor & Francis,,United Kingdom,English,http://www.tandfonline.com/toc/rrel20/current#.VJF_pVflPj4
Religion and Reason,0080-0848,,Walter de Gruyter (De Gruyter),,Germany,English,https://www.degruyter.com/serial/RR-B/html
Religion and Society (RS),1437-5370,,Walter de Gruyter (De Gruyter),,Germany,English,https://www.degruyter.com/serial/RS-B/html
Religion in Philosophy and Theology (RPT),1616-346X,2568-7425,Mohr Siebeck,,Germany,German,https://www.mohrsiebeck.com/en/monograph-series/religion-in-philosophy-and-theology-rpt
Religion in the Americas Series (REAM),1542-1279,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/REAM
Religious Diversity and Education in Europe,1862-9547,,Waxmann Verlag,,Germany,English,https://www.waxmann.com/waxmann-reihen/?tx_p2waxmann_pi2%5Breihe%5D=REI100189&tx_p2waxmann_pi2%5Baction%5D=show&tx_p2waxmann_pi2%5Bcontroller%5D=Reihe&cHash=3c5a202215a72a69fb9f48e9e11f37c3
Review of religious research,0034-673X,2211-4866,Springer,,United States,English,http://link.springer.com/journal/13644
Revue de l'histoire des religions,0035-1423,2105-2573,Armand Colin,,France,French,http://www.revues.armand-colin.com/histoire/revue-lhistoire-religions/revue-lhistoire-religions-tome-233-12016
SBL - The New Testament in the Greek Fathers,1570-5994,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/NTGF
SBL - Writings from the Ancient World,1570-7008,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/WAW
Scandinavian Journal of the Old Testament,0901-8328,1502-7244,Taylor & Francis,,United Kingdom,English,http://www.tandfonline.com/loi/sold20
Sociology of religion,1069-4404,1759-8818,Oxford University Press,,United States,English,http://socrel.oxfordjournals.org/
Studia liturgica: An International Ecumenical Review for Liturgical Research and Renewal,0039-3207,2517-4797,Sage Publications,,United Kingdom,English,https://journals.sagepub.com/home/stl
Studia Theologica - Nordic Journal of Theology,0039-338X,1502-7791,Taylor & Francis,,Denmark,Multiple languages,http://www.tandfonline.com/toc/sthe20/current
Studies in Christian Ethics,0953-9468,1745-5235,Sage Publications,,United Kingdom,English,http://sce.sagepub.com/
Studies in Philosophical Theology,1381-2025,,Peeters Publishers,,Netherlands,English,http://www.peeters-leuven.be/Search_serie_book.asp?nr=137
Studies in the History of Christian Traditions,1573-5664,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/SHCT
Supplements to the Journal for the Study of Judaism,1384-2161,,Brill Academic Publishers,,Netherlands,,http://www.brill.nl/default.aspx?partid=17&mcid=3&scid=308&pgid=2&pid=7543
Temenos,0497-1817,2342-7256,,Religionsvetenskapliga sällskapet i Finland / Finnish Society for the Study of Religion,Finland,English,http://www.journal.fi/temenos
Texts and Editions for New Testament Study,1574-7085,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/TENT
The Bible in Ancient Christianity,1542-1295,,Brill Academic Publishers,,United States,English,https://brill.com/view/serial/BAC
The Brill Reference Library of Judaism (BRLJ),1571-5000,,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/BRLA
The History of Christian-Muslim Relations,1570-7350,,Brill Academic Publishers,,Netherlands,,http://www.brill.nl/default.aspx?partid=17&mcid=3&scid=312&pgid=2&pid=10817
The international journal for the psychology of religion,1050-8619,1532-7582,Routledge,,United States,English,http://www.tandfonline.com/loi/hjpr20
The Journal of Ecclesiastical History,0022-0469,1469-7637,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=ECH
Vetus Testamentum (Print),0042-4935,1568-5330,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/vetus-testamentum
Vetus Testamentum Supplements Online,0083-5889,2214-9600,Brill Academic Publishers,,Netherlands,English,https://brill.com/view/serial/VTSO?contents=toc-18112
Vigiliae christianae (Print),0042-6032,1570-0720,Brill Academic Publishers,,Netherlands,English,http://www.brill.com/vigiliae-christianae
Wissenschaftliche Untersuchungen zum Neuen Testament (WUNT),0512-1604,2568-7476,Mohr Siebeck,,Germany,German,https://www.mohrsiebeck.com/en/monograph-series/wissenschaftliche-untersuchungen-zum-neuen-testament-wunt-i
Writings from the Greco-Roman World,1569-3600,,Society of Biblical Literature (SBL) Press,,Netherlands,English,https://www.sbl-site.org/publications/books_wgrw.aspx
Zeitschrift für die Alttestamentliche Wissenschaft,0044-2526,1613-0103,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/zatw
Zeitschrift für die neutestamentliche Wissenschaft und die Kunde der älteren Kirche,0044-2615,1613-009X,Walter de Gruyter (De Gruyter),,Germany,Multiple languages,http://www.degruyter.com/view/j/zntw
Zeitschrift für Kirchengeschichte,0044-2925,,W. Kohlhammer GmbH,,Germany,German,https://www.kohlhammer.de/wms/instances/KOB/appDE/nav_magazine.php?product=0044-2925
Zeitschrift für Religionswissenschaft,0943-8610,2194-508X,Walter de Gruyter (De Gruyter),,Germany,German,http://www.degruyter.com/view/j/zfr
Zeitschrift für Theologie und Kirche (ZThK),0044-3549,1868-7377,Mohr Siebeck,,Germany,German,https://www.mohr.de/zeitschriften/zeitschrift-fuer-theologie-und-kirche-zthk
ACS Chemical Biology,1554-8929,1554-8937,American Chemical Society (ACS),,United States,,http://pubs.acs.org/journal/acbcct
Agricultural Systems,0308-521X,1873-2267,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/0308521X
Animal Behaviour,0003-3472,1095-8282,Elsevier,,United Kingdom,English,http://www.sciencedirect.com/science/journal/00033472
Applied and Environmental Microbiology,0099-2240,1098-5336,,American Society for Microbiology,United States,,http://aem.asm.org/
Aquaculture,0044-8486,1873-5622,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/aquaculture
Behavioral Ecology,1045-2249,1465-7279,Oxford University Press,,United Kingdom,English,http://beheco.oxfordjournals.org/
Behavioral Ecology and Sociobiology,0340-5443,1432-0762,Springer,,Germany,English,http://www.springer.com/life+sciences/behavioural/journal/265
Biological Conservation,0006-3207,1873-2917,Elsevier,,United Kingdom,English,https://www.sciencedirect.com/journal/biological-conservation
Biology Letters,1744-9561,1744-957X,,,United Kingdom,,http://www.pubs.royalsoc.ac.uk/biologyletters.shtml
Biomaterials,0142-9612,1878-5905,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/01429612
Biotechnology Advances,0734-9750,1873-1899,,,,,http://www.sciencedirect.com/science/journal/07349750
BMC Bioinformatics,,1471-2105,BioMed Central (BMC),,United Kingdom,,http://www.biomedcentral.com/bmcbioinformatics
BMC Biology,,1741-7007,BioMed Central (BMC),,United Kingdom,English,https://bmcbiol.biomedcentral.com/
BMC Ecology and Evolution,,2730-7182,BioMed Central (BMC),,United Kingdom,English,https://bmcecolevol.biomedcentral.com/
BMC Plant Biology,,1471-2229,BioMed Central (BMC),,United Kingdom,,http://www.biomedcentral.com/bmcplantbiol/
Canadian Journal of Fisheries and Aquatic Sciences,0706-652X,1205-7533,NRC Research Press,,Canada,Multiple languages,http://www.nrcresearchpress.com/journal/cjfas
Cell Metabolism,1550-4131,1932-7420,,Cell Press,United States,English,http://www.cell.com/cell-metabolism/home
Cladistics,0748-3007,1096-0031,John Wiley & Sons,The Willi Hennig Society,United Kingdom,English,https://onlinelibrary.wiley.com/journal/10960031
Conservation Biology,0888-8892,1523-1739,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=0888-8892&site=1
Conservation Letters,,1755-263X,John Wiley & Sons,Wiley Periodicals LLC,United States,English,https://conbio.onlinelibrary.wiley.com/journal/1755263x
Current Biology,0960-9822,1879-0445,,Cell Press,United Kingdom,,http://www.current-biology.com/
Diversity and Distributions: A Journal of Conservation Biogeography,1366-9516,1472-4642,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14724642
Ecography,0906-7590,1600-0587,,Blackwell,"Denmark, United Kingdom",English,https://onlinelibrary.wiley.com/journal/16000587
Ecological Applications,1051-0761,1939-5582,,,United States,,http://www.jstor.org/journals/10510761.html
Ecological Monographs,0012-9615,1557-7015,,,United States,,http://www.jstor.org/journals/00129615.html
Ecology,0012-9658,1939-9170,,,United States,,http://www.jstor.org/journals/00129658.html
Ecology Letters,1461-023X,1461-0248,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14610248
Ecosystems,1432-9840,1435-0629,Springer,,United States,,http://www.springerlink.com/?MUD=MP
eLIFE,,2050-084X,,eLife Sciences Publications Ltd,United Kingdom,English,http://elife.elifesciences.org/
Environmental Microbiology,1462-2912,1462-2920,John Wiley & Sons,Society for Applied Microbiology,United Kingdom,English,https://sfamjournals.onlinelibrary.wiley.com/journal/14622920?tabActivePane=
European Journal of Agronomy,1161-0301,1873-7331,,,,,http://www.sciencedirect.com/science/journal/11610301
Evolution,0014-3820,1558-5646,,Allen Press Inc.,United States,,http://evol.allenpress.com/evolonline/?request=index-html
Evolutionary Applications,,1752-4571,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/17524571
FEMS Microbiology Ecology,0168-6496,1574-6941,Oxford University Press,,Netherlands,English,https://academic.oup.com/femsec
Fish and Fisheries,1467-2960,1467-2979,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14672979
Fisheries Oceanography,1054-6006,1365-2419,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652419
Forest Ecology and Management,0378-1127,1872-7042,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/03781127
Freshwater Biology,0046-5070,1365-2427,,Blackwell Science Ltd.,United Kingdom,,http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=fwb&File=fwb&Page=aims
Frontiers in Ecology and the Environment,1540-9295,1540-9309,,Ecological Society of America (ESA),United States,English,http://www.frontiersinecology.org/
Frontiers in Plant Science,,1664-462X,Frontiers Media S.A.,,Switzerland,English,https://www.frontiersin.org/journals/plant-science
Functional Ecology,0269-8463,1365-2435,John Wiley & Sons,British Ecological Society,United Kingdom,English,https://besjournals.onlinelibrary.wiley.com/journal/13652435
"G3: Genes, Genomes, Genetics",,2160-1836,,Genetics Society of America,United States,English,http://www.g3journal.org/
GCB Bioenergy: Bioproducts for a Sustainable Bioeconomy,1757-1693,1757-1707,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/17571707
Genetics Selection Evolution,0999-193X,1297-9686,BioMed Central (BMC),EDP Sciences,France,,http://www.edpsciences.org/journal/index.cfm?edpsname=gse
Genome Biology,1465-6906,1474-760X,BioMed Central (BMC),,United Kingdom,,http://genomebiology.com/
Genome Biology and Evolution (GBE),,1759-6653,Oxford University Press,,United Kingdom,English,http://gbe.oxfordjournals.org/
Geobiology,1472-4677,1472-4669,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/journal.asp?ref=1472-4677
Global Change Biology,1354-1013,1365-2486,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652486
Global Ecology and Biogeography,1466-822X,1466-8238,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/journal.asp?ref=1466-822X&site=1
ICES Journal of Marine Science,1054-3139,1095-9289,Oxford University Press,,United Kingdom,English,https://academic.oup.com/icesjms
International Dairy Journal,0958-6946,1879-0143,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09586946
International journal of food microbiology,0168-1605,1879-3460,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/01681605
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,American Chemical Society (ACS),,United States,,http://pubs.acs.org/journals/jafcau/
Journal of Animal Ecology,0021-8790,1365-2656,John Wiley & Sons,,United Kingdom,English,https://besjournals.onlinelibrary.wiley.com/journal/13652656?tabActivePane=
Journal of Animal Science,0021-8812,1525-3163,,American Society of Animal Science,United States,,http://jas.fass.org/
Journal of Applied Ecology,0021-8901,1365-2664,British Ecological Society,,United Kingdom,English,https://besjournals.onlinelibrary.wiley.com/journal/13652664
Journal of Biogeography,0305-0270,1365-2699,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652699
Journal of Biological Chemistry,0021-9258,1083-351X,,,United States,,http://www.jbc.org/
Journal of Dairy Science (JDS),0022-0302,1525-3198,Elsevier,American Dairy Science Association,United States,English,https://www.sciencedirect.com/journal/journal-of-dairy-science
Journal of Ecology,0022-0477,1365-2745,Blackwell Publishing,,United Kingdom,,http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=JECOL&File=JECOL&Page=aims
Journal of Evolutionary Biology,1010-061X,1420-9101,,,United Kingdom,,http://www.blackwellpublishing.com/jeb_enhanced/default.asp
Journal of Experimental Biology,0022-0949,1477-9145,,,United Kingdom,,http://jeb.biologists.org/
Journal of Experimental Botany,0022-0957,1460-2431,Oxford University Press,,United Kingdom,,http://www.oxfordjournals.org/exbotj/about.html
Journal of Nanobiotechnology,,1477-3155,BioMed Central (BMC),,United Kingdom,English,https://jnanobiotechnology.biomedcentral.com/
Marine Ecology Progress Series,0171-8630,1616-1599,,,Germany,,http://www.int-res.com/journals/meps/
mBio,2161-2129,2150-7511,,American Society for Microbiology,United States,English,http://mbio.asm.org/
Meat Science,0309-1740,1873-4138,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/03091740
Methods in Ecology and Evolution,,2041-210X,British Ecological Society,,United Kingdom,English,http://www.methodsinecologyandevolution.org/view/0/index.html
Microbiome,,2049-2618,BioMed Central (BMC),,United Kingdom,English,http://www.microbiomejournal.com/
Molecular Biology and Evolution (MBE),0737-4038,1537-1719,Oxford University Press,,United States,English,https://academic.oup.com/mbe
Molecular Ecology,0962-1083,1365-294X,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/1365294x?tabActivePane=
Molecular Phylogenetics and Evolution,1055-7903,1095-9513,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/10557903
Molecular Plant,1674-2052,1752-9867,,Cell Press,China,English,http://www.sciencedirect.com/science/journal/16742052
Molecular Plant-Microbe Interactions,0894-0282,1943-7706,,American Phytopathological Society,United States,,http://www.apsnet.org/mpmi
Molecular Systems Biology,,1744-4292,,EMBO Press,United Kingdom,English,https://www.embopress.org/journal/17444292
Natural product reports (Print),0265-0568,1460-4752,,,,,http://www.rsc.org/
Nature Ecology and Evolution,,2397-334X,,Nature Portfolio,United Kingdom,English,https://www.nature.com/natecolevol/
Nature Microbiology,,2058-5276,,Nature Portfolio,United Kingdom,English,http://www.nature.com/nmicrobiol/
Nature Plants,2055-026X,2055-0278,,Nature Portfolio,United Kingdom,English,https://www.nature.com/nplants/
Nature Protocols,1754-2189,1750-2799,,Nature Portfolio,United Kingdom,,http://www.nature.com/nprot
Nature Structural & Molecular Biology,1545-9993,1545-9985,,Nature Portfolio,United States,,http://www.nature.com/nsmb
New Phytologist,0028-646X,1469-8137,John Wiley & Sons,,United Kingdom,English,https://nph.onlinelibrary.wiley.com/journal/14698137
Oecologia,0029-8549,1432-1939,Springer,,Germany,English,https://www.springer.com/journal/442
Oikos,0030-1299,1600-0706,John Wiley & Sons,Nordic Society Oikos,"Denmark, United Kingdom",English,https://onlinelibrary.wiley.com/journal/16000706
Philosophical Transactions of the Royal Society of London. Biological Sciences,0962-8436,1471-2970,,Royal Society Publishing,United Kingdom,,http://rstb.royalsocietypublishing.org
Phytochemistry,0031-9422,1873-3700,,,,,http://www.sciencedirect.com/science/journal/00319422
Plant and Cell Physiology,0032-0781,1471-9053,Oxford University Press,,,,http://pcp.oxfordjournals.org/
Plant and Soil,0032-079X,1573-5036,,Kluwer Academic/Plenum Publishers,Netherlands,,http://www.wkap.nl/journalhome.htm/0032-079X
Plant Biotechnology Journal,1467-7644,1467-7652,,,,,http://www.wileyopenaccess.com/view/index.html
Plant Molecular Biology,0167-4412,1573-5028,Springer,,Netherlands,,http://springerlink.metapress.com/openurl.asp?genre=journal&issn=0167-4412
Plant Pathology,0032-0862,1365-3059,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=0032-0862&site=1
Plant Physiology,0032-0889,1532-2548,,American Society of Plant Biologists,United States,,http://www.plantphysiol.org/
"Plant, Cell and Environment",0140-7791,1365-3040,Blackwell Publishing,,United Kingdom,,http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=PCE&File=PCE&Page=aims
PLoS Biology,1544-9173,1545-7885,,Public Library of Science (PLoS),United States,English,http://journals.plos.org/plosbiology/
PLoS Computational Biology,1553-734X,1553-7358,,Public Library of Science (PLoS) ,United States,,http://www.ploscompbiol.org/home.action
Proceedings of the Royal Society of London. Biological Sciences,0962-8452,1471-2954,,Royal Society Publishing,United Kingdom,English,https://royalsocietypublishing.org/journal/rspb
RNA: A publication of the RNA Society,1355-8382,1469-9001,Cold Spring Harbor Laboratory Press (CSHL),RNA Society,"United Kingdom, United States",English,https://rnajournal.cshlp.org/
Soil Biology and Biochemistry,0038-0717,1879-3428,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00380717
Soil Science Society of America Journal,0361-5995,1435-0661,John Wiley & Sons,Soil Science Society of America,United States,English,https://www.soils.org/publications/sssaj
Structure,0969-2126,1878-4186,Elsevier,Cell Press,"United Kingdom, United States",English,https://www.cell.com/structure/home
Studies in mycology,0166-0616,1872-9797,,,,,http://www.elsevier.com/
Systematic Biology,1063-5157,1076-836X,,,United States,,http://www.oxfordjournals.org/
Systematic Entomology,0307-6970,1365-3113,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/submit.asp?ref=0307-6970
Taxon,0040-0262,1996-8175,,,Netherlands,,http://www.ingentaconnect.com/content/iapt/tax
The American Naturalist,0003-0147,1537-5323,University of Chicago Press,,United States,English,https://www.journals.uchicago.edu/toc/an/current
The FASEB Journal,0892-6638,1530-6860,John Wiley & Sons,,United States,English,https://faseb.onlinelibrary.wiley.com/journal/15306860
The ISME Journal,1751-7362,1751-7370,Nature Portfolio,,United Kingdom,,http://www.nature.com/ismej/index.html
The Plant Cell,1040-4651,1532-298X,,,United States,English,http://www.plantcell.org/
The Plant Journal,0960-7412,1365-313X,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/1365313x
Theoretical and Applied Genetics,0040-5752,1432-2242,Springer,,Germany,,http://link.springer.de/link/service/journals/00122/
Trends in Food Science & Technology,0924-2244,1879-3053,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09242244
ACS Catalysis,,2155-5435,American Chemical Society (ACS),,United States,English,http://pubs.acs.org/journal/accacs
ACS Nano,1936-0851,1936-086X,American Chemical Society (ACS),,United States,English,https://pubs.acs.org/page/ancac3/about.html
Acta Materialia,1359-6454,1873-2453,Pergamon Press,,Netherlands,,http://www.sciencedirect.com/science/journal/13596454
Advanced Functional Materials,1616-301X,1616-3028,Wiley-VCH,,Germany,English,https://onlinelibrary.wiley.com/journal/16163028
Advanced Materials,0935-9648,1521-4095,Wiley-VCH,,Germany,English,https://onlinelibrary.wiley.com/journal/15214095
AIChE Journal,0001-1541,1547-5905,American Institute of Chemical Engineers,,United States,,http://www.aiche.org/Publications/AIChEJournal/index.aspx
Analytical Chemistry,0003-2700,1520-6882,American Chemical Society (ACS),,United States,,http://pubs.acs.org/journals/ancham/
Angewandte Chemie International Edition,1433-7851,1521-3773,Wiley-VCH,,Germany,English,https://onlinelibrary.wiley.com/journal/15213773
Carbon,0008-6223,1873-3891,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00086223
Catalysis Today,0920-5861,1873-4308,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09205861
Chemical Communications,1359-7345,1364-548X,Royal Society of Chemistry (RSC),,United States,,http://www.rsc.org/Publishing/Journals/cc/About.asp
Chemical Engineering Journal,1385-8947,1873-3212,Elsevier,,"Switzerland, Netherlands",English,https://www.sciencedirect.com/journal/chemical-engineering-journal
Chemical Engineering Science (CES),0009-2509,1873-4405,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/00092509
Chemical Reviews,0009-2665,1520-6890,,ACS Publications,United States,,http://pubs.acs.org/journals/chreay/
Chemical Science,2041-6520,2041-6539,Royal Society of Chemistry (RSC),,United Kingdom,English,https://pubs.rsc.org/en/journals/journalissues/sc
Chemical Society Reviews,0306-0012,1460-4744,Royal Society of Chemistry (RSC),,United Kingdom,,http://www.rsc.org/Publishing/Journals/cs/index.asp
Chemistry - A European Journal,0947-6539,1521-3765,Wiley-VCH,,Germany,English,https://chemistry-europe.onlinelibrary.wiley.com/journal/15213765
Chemistry of Materials,0897-4756,1520-5002,,ACS Publications,United States,,http://www.pubs.acs.org/journals/cmatex/index.html
Composites Part B: Engineering,1359-8368,1879-1069,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/13598368
Composites Science And Technology,0266-3538,1879-1050,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/02663538
Computational Materials Science,0927-0256,1879-0801,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/09270256
Computers and Chemical Engineering,0098-1354,1873-4375,Pergamon Press,,Netherlands,,http://www.sciencedirect.com/science/journal/00981354
Corrosion Science,0010-938X,1879-0496,Pergamon Press,,Netherlands,,http://www.sciencedirect.com/science/journal/0010938X
Crystal Growth & Design,1528-7483,1528-7505,,ACS Publications,United States,,http://pubs.acs.org/journal/cgdefu
Electrochimica Acta,0013-4686,1873-3859,Elsevier,International Society of Electrochemistry (ISE),United Kingdom,English,https://www.sciencedirect.com/journal/electrochimica-acta
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,American Chemical Society (ACS),,United States,,http://pubs3.acs.org/acs/journals/toc.page?incoden=iepra6
Inorganic Chemistry,0020-1669,1520-510X,,ACS Publications,United States,,http://pubs.acs.org/journals/inocaj/
International Materials Reviews,0950-6608,1743-2804,,,United Kingdom,,http://www.maney.co.uk/search?fwaction=show&fwid=170
Journal of Catalysis,0021-9517,1090-2694,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/00219517
Journal of Chemical Information and Modeling,1549-9596,1549-960X,American Chemical Society (ACS),,United States,English,https://pubs.acs.org/journal/jcisd8
Journal of Chemical Theory and Computation,1549-9618,1549-9626,American Chemical Society (ACS),,United States,English,http://pubs.acs.org/journals/jctcce/index.html
Journal of Chromatography A,0021-9673,1873-3778,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/00219673
Journal of Hazardous Materials,0304-3894,1873-3336,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/journal-of-hazardous-materials
Journal of Membrane Science,0376-7388,1873-3123,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/03767388
Journal of Organic Chemistry,0022-3263,1520-6904,American Chemical Society (ACS),,United States,,http://pubs.acs.org/journal/joceah
Journal of The American Ceramic Society,0002-7820,1551-2916,Blackwell Publishing,,United Kingdom,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-2916
Journal of the American Chemical Society,0002-7863,1520-5126,,,United States,,http://pubs.acs.org/journals/jacsat/
Journal of the Electrochemical Society,0013-4651,1945-7111,IOP Publishing,,United States,English,https://iopscience.iop.org/journal/1945-7111
Macromolecules,0024-9297,1520-5835,,ACS Publications,United States,,http://pubs.acs.org/journal/mamobx
Materials Science & Engineering: A,0921-5093,1873-4936,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09215093
Metallurgical and Materials Transactions A,1073-5623,1543-1940,Springer,,United States,English,https://www.springer.com/journal/11661
Metallurgical and Materials Transactions B,1073-5615,1543-1916,Springer,ASM International,United States,English,https://www.springer.com/journal/11663
Microporous and Mesoporous Materials,1387-1811,1873-3093,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/13871811
MRS bulletin,0883-7694,1938-1425,Springer,,,,http://www.cambridge.org/uk/
Nano Letters,1530-6984,1530-6992,American Chemical Society (ACS),,United States,English,https://pubs.acs.org/journal/nalefd
Nanoscale,2040-3364,2040-3372,Royal Society of Chemistry (RSC),,United Kingdom,English,http://www.rsc.org/publishing/journals/nr/about.asp
Nature Catalysis,,2520-1158,,Nature Portfolio,United Kingdom,English,https://www.nature.com/natcatal/
Nature Chemical Biology,1552-4450,1552-4469,,Nature Portfolio,United States,,http://www.nature.com/nchembio
Nature Chemistry,1755-4330,1755-4349,,Nature Portfolio,United Kingdom,English,http://www.nature.com/nchem
Nature Materials,1476-1122,1476-4660,,Nature Portfolio,,,https://www.nature.com/nmat
Nature Nanotechnology,1748-3387,1748-3395,,Nature Portfolio,United Kingdom,,http://www.nature.com/nnano
Organic Letters,1523-7060,1523-7052,,,United States,,http://pubs.acs.org/
